match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
1085962,1st innings,South Africa,India,0.1,L Wolvaardt,L Lee,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,0.2,L Lee,L Wolvaardt,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,0.3,L Lee,L Wolvaardt,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,0.4,L Lee,L Wolvaardt,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,0.5,L Lee,L Wolvaardt,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,0.6,L Lee,L Wolvaardt,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,1.1,L Wolvaardt,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,1.2,L Wolvaardt,L Lee,S Pandey,0,0,0,NA,1,bowled,L Wolvaardt,NA,1
1085962,1st innings,South Africa,India,1.3,T Chetty,L Lee,S Pandey,0,1,1,wides,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,1.4,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,1.5,T Chetty,L Lee,S Pandey,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,1.6,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,1.7,T Chetty,L Lee,S Pandey,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,2.1,T Chetty,L Lee,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,2.2,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,2.3,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,2.4,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,2.5,L Lee,T Chetty,J Goswami,0,1,1,legbyes,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,2.6,T Chetty,L Lee,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,3.1,L Lee,T Chetty,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,3.2,L Lee,T Chetty,S Pandey,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,3.3,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,3.4,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,3.5,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,3.6,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,4.1,L Lee,T Chetty,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,4.2,T Chetty,L Lee,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,4.3,T Chetty,L Lee,J Goswami,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,4.4,T Chetty,L Lee,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,4.5,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,4.6,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.1,T Chetty,L Lee,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.2,T Chetty,L Lee,S Pandey,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.3,L Lee,T Chetty,S Pandey,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.4,L Lee,T Chetty,S Pandey,6,0,6,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.5,L Lee,T Chetty,S Pandey,4,1,5,noballs,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.6,L Lee,T Chetty,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,5.7,L Lee,T Chetty,S Pandey,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.1,T Chetty,L Lee,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.2,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.3,L Lee,T Chetty,J Goswami,0,1,1,wides,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.4,L Lee,T Chetty,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.5,T Chetty,L Lee,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.6,T Chetty,L Lee,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,6.7,T Chetty,L Lee,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,7.1,T Chetty,L Lee,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,7.2,T Chetty,L Lee,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,7.3,T Chetty,L Lee,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,7.4,T Chetty,L Lee,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,7.5,T Chetty,L Lee,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,7.6,T Chetty,L Lee,E Bisht,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,8.1,L Lee,T Chetty,J Goswami,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,8.2,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,8.3,L Lee,T Chetty,J Goswami,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,8.4,L Lee,T Chetty,J Goswami,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,8.5,L Lee,T Chetty,J Goswami,6,0,6,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,8.6,L Lee,T Chetty,J Goswami,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,9.1,L Lee,T Chetty,E Bisht,6,0,6,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,9.2,L Lee,T Chetty,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,9.3,L Lee,T Chetty,E Bisht,4,0,4,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,9.4,L Lee,T Chetty,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,9.5,L Lee,T Chetty,E Bisht,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,9.6,L Lee,T Chetty,E Bisht,6,0,6,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,10.1,T Chetty,L Lee,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,10.2,T Chetty,L Lee,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,10.3,T Chetty,L Lee,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,10.4,T Chetty,L Lee,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,10.5,T Chetty,L Lee,Poonam Yadav,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,10.6,L Lee,T Chetty,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,11.1,T Chetty,L Lee,DB Sharma,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,11.2,L Lee,T Chetty,DB Sharma,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,11.3,L Lee,T Chetty,DB Sharma,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,11.4,L Lee,T Chetty,DB Sharma,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,11.5,L Lee,T Chetty,DB Sharma,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,11.6,L Lee,T Chetty,DB Sharma,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,12.1,T Chetty,L Lee,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,12.2,T Chetty,L Lee,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,12.3,T Chetty,L Lee,Poonam Yadav,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,12.4,L Lee,T Chetty,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,12.5,L Lee,T Chetty,Poonam Yadav,0,0,0,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,12.6,L Lee,T Chetty,Poonam Yadav,1,0,1,NA,0,NA,NA,NA,1
1085962,1st innings,South Africa,India,13.1,L Lee,T Chetty,DB Sharma,0,0,0,NA,0,NA,NA,NA,1
