match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
380716,1st innings,England,West Indies,0.1,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,0.2,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,0.3,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,0.4,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,0.5,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,0.6,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.1,RS Bopara,AJ Strauss,R Rampaul,0,5,5,wides,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.2,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.3,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.4,RS Bopara,AJ Strauss,R Rampaul,4,0,4,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.5,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.6,RS Bopara,AJ Strauss,R Rampaul,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,1.7,AJ Strauss,RS Bopara,R Rampaul,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,2.1,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,2.2,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,2.3,AJ Strauss,RS Bopara,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,2.4,RS Bopara,AJ Strauss,JE Taylor,3,0,3,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,2.5,AJ Strauss,RS Bopara,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,2.6,RS Bopara,AJ Strauss,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,3.1,AJ Strauss,RS Bopara,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,3.2,AJ Strauss,RS Bopara,R Rampaul,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,3.3,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,3.4,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,3.5,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,3.6,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,4.1,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,4.2,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,4.3,AJ Strauss,RS Bopara,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,4.4,RS Bopara,AJ Strauss,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,4.5,RS Bopara,AJ Strauss,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,4.6,AJ Strauss,RS Bopara,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,5.1,RS Bopara,AJ Strauss,R Rampaul,2,0,2,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,5.2,RS Bopara,AJ Strauss,R Rampaul,4,0,4,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,5.3,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,5.4,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,5.5,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,5.6,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.1,AJ Strauss,RS Bopara,JE Taylor,0,1,1,wides,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.2,AJ Strauss,RS Bopara,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.3,RS Bopara,AJ Strauss,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.4,RS Bopara,AJ Strauss,JE Taylor,0,1,1,legbyes,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.5,AJ Strauss,RS Bopara,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.6,RS Bopara,AJ Strauss,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,6.7,RS Bopara,AJ Strauss,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,7.1,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,7.2,RS Bopara,AJ Strauss,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,7.3,RS Bopara,AJ Strauss,R Rampaul,3,0,3,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,7.4,AJ Strauss,RS Bopara,R Rampaul,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,7.5,AJ Strauss,RS Bopara,R Rampaul,4,0,4,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,7.6,AJ Strauss,RS Bopara,R Rampaul,4,0,4,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,8.1,RS Bopara,AJ Strauss,JE Taylor,0,1,1,noballs,0,NA,NA,NA,1
380716,1st innings,England,West Indies,8.2,RS Bopara,AJ Strauss,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,8.3,RS Bopara,AJ Strauss,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,8.4,AJ Strauss,RS Bopara,JE Taylor,1,0,1,NA,0,NA,NA,NA,1
380716,1st innings,England,West Indies,8.5,RS Bopara,AJ Strauss,JE Taylor,0,0,0,NA,0,NA,NA,NA,1
