match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
1144435,1st innings,South Africa,Bangladesh,0.1,L Lee,L Wolvaardt,Jahanara Alam,1,0,1,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,0.2,L Wolvaardt,L Lee,Jahanara Alam,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,0.3,L Wolvaardt,L Lee,Jahanara Alam,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,0.4,L Wolvaardt,L Lee,Jahanara Alam,2,0,2,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,0.5,L Wolvaardt,L Lee,Jahanara Alam,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,0.6,L Wolvaardt,L Lee,Jahanara Alam,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,1.1,L Lee,L Wolvaardt,Panna Ghosh,2,0,2,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,1.2,L Lee,L Wolvaardt,Panna Ghosh,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,1.3,L Lee,L Wolvaardt,Panna Ghosh,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,1.4,L Lee,L Wolvaardt,Panna Ghosh,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,1.5,L Lee,L Wolvaardt,Panna Ghosh,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,1.6,L Lee,L Wolvaardt,Panna Ghosh,0,0,0,NA,0,NA,NA,NA,1
1144435,1st innings,South Africa,Bangladesh,2.1,L Wolvaardt,L Lee,Jahanara Alam,1,0,1,NA,0,NA,NA,NA,1
