match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
433563,1st innings,Pakistan,Kenya,0.1,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,0.2,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,0.3,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,0.4,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,0.5,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,2,0,2,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,0.6,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,2,0,2,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,1.1,Ahmed Shehzad,Mohammad Hafeez,E Otieno,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,1.2,Ahmed Shehzad,Mohammad Hafeez,E Otieno,0,1,1,legbyes,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,1.3,Mohammad Hafeez,Ahmed Shehzad,E Otieno,1,0,1,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,1.4,Ahmed Shehzad,Mohammad Hafeez,E Otieno,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,1.5,Ahmed Shehzad,Mohammad Hafeez,E Otieno,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,1.6,Ahmed Shehzad,Mohammad Hafeez,E Otieno,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,2.1,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,2.2,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,2.3,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
433563,1st innings,Pakistan,Kenya,2.4,Mohammad Hafeez,Ahmed Shehzad,TM Odoyo,0,0,0,NA,0,NA,NA,NA,1
