match_id,team_statistics,batsman_1,batsman_1_runs,batsman_2,batsman_2_runs,batsman_3,batsman_3_runs,batsman_4,batsman_4_runs,batsman_5,batsman_5_runs,batsman_6,batsman_6_runs,batsman_7,batsman_7_runs,batsman_8,batsman_8_runs,batsman_9,batsman_9_runs,batsman_10,batsman_10_runs,batsman_11,batsman_11_runs,bowler_1,bowler_1_wickets,bowler_2,bowler_2_wickets,bowler_3,bowler_3_wickets,bowler_4,bowler_4_wickets,bowler_5,bowler_5_wickets,bowler_6,bowler_6_wickets,bowler_7,bowler_7_wickets,bowler_8,bowler_8_wickets,bowler_9,bowler_9_wickets,bowler_10,bowler_10_wickets,bowler_11,bowler_11_wickets,total_run,total_wickets
573016,Sri Lanka,DPMD Jayawardene,1,TM Dilshan,22,HDRL Thirimanne,7,MDKJ Perera,22,AD Mathews,0,WU Tharanga,12,BMAJ Mendis,2,NLTC Perera,4,not_batted,0,not_batted,0,not_batted,0,AD Mathews,1,KMDN Kulasekara,5,SL Malinga,3,NLTC Perera,0,RMS Eranga,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,75,10
567358,South Africa,HM Amla,13,GC Smith,7,CA Ingram,29,AB de Villiers,7,F du Plessis,57,Q de Kock,18,R McLaren,33,RJ Peterson,0,RK Kleinveldt,26,DW Steyn,0,LL Tsotsobe,0,DW Steyn,0,LL Tsotsobe,2,RK Kleinveldt,2,R McLaren,4,RJ Peterson,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,208,9
567358,New Zealand,RJ Nicol,4,BJ Watling,45,KS Williamson,5,BB McCullum,26,GD Elliott,1,JEC Franklin,47,JDS Neesham,0,NL McCullum,24,KD Mills,26,MJ McClenaghan,0,not_batted,0,KD Mills,1,MJ McClenaghan,4,NL McCullum,0,JEC Franklin,1,KS Williamson,4,JDS Neesham,0,GD Elliott,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,209,10
565814,England,AN Cook,17,IR Bell,25,KP Pietersen,17,JE Root,39,EJG Morgan,10,C Kieswetter,0,SR Patel,0,TT Bresnan,25,JC Tredwell,4,ST Finn,3,JW Dernbach,0,ST Finn,1,JW Dernbach,0,TT Bresnan,0,JC Tredwell,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,155,3
565814,India,G Gambhir,33,AM Rahane,0,V Kohli,77,Yuvraj Singh,30,MS Dhoni,10,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,B Kumar,1,Mohammed Shami,1,I Sharma,2,RA Jadeja,3,R Ashwin,2,SK Raina,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,157,10
567359,New Zealand,MJ Guptill,0,BJ Watling,12,KS Williamson,145,GD Elliott,48,BB McCullum,17,C Munro,9,JEC Franklin,0,JDS Neesham,5,NL McCullum,19,KD Mills,15,not_batted,0,KD Mills,2,MJ McClenaghan,0,NL McCullum,1,KS Williamson,0,JEC Franklin,1,JDS Neesham,1,GD Elliott,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,279,10
567359,South Africa,Q de Kock,25,GC Smith,66,CA Ingram,79,F du Plessis,2,F Behardien,31,DA Miller,14,R McLaren,2,RK Kleinveldt,0,RJ Peterson,0,M Morkel,19,LL Tsotsobe,9,RK Kleinveldt,2,LL Tsotsobe,2,M Morkel,3,R McLaren,0,RJ Peterson,0,F du Plessis,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,252,8
565815,England,AN Cook,76,IR Bell,10,KP Pietersen,76,EJG Morgan,3,SR Patel,1,JE Root,57,JC Buttler,14,TT Bresnan,0,JC Tredwell,6,not_batted,0,not_batted,0,ST Finn,1,TT Bresnan,1,JW Dernbach,1,SR Patel,0,JC Tredwell,2,JE Root,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,257,5
565815,India,G Gambhir,10,RG Sharma,83,V Kohli,26,Yuvraj Singh,3,SK Raina,89,MS Dhoni,19,RA Jadeja,21,not_batted,0,not_batted,0,not_batted,0,not_batted,0,B Kumar,0,Mohammed Shami,0,I Sharma,2,R Ashwin,2,RA Jadeja,3,SK Raina,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,258,7
573018,Australia,MS Wade,23,DA Warner,10,PJ Hughes,138,GJ Bailey,17,DJ Hussey,34,GJ Maxwell,9,MC Henriques,9,not_batted,0,not_batted,0,not_batted,0,not_batted,0,CJ McKay,2,MA Starc,0,MG Johnson,2,XJ Doherty,3,MC Henriques,3,GJ Maxwell,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,247,10
573018,Sri Lanka,DPMD Jayawardene,38,TM Dilshan,19,HDRL Thirimanne,1,LD Chandimal,6,AD Mathews,67,MDKJ Perera,14,BMAJ Mendis,26,NLTC Perera,7,KMDN Kulasekara,14,HMRKB Herath,2,SL Malinga,2,TM Dilshan,1,KMDN Kulasekara,1,AD Mathews,0,SL Malinga,1,HMRKB Herath,0,NLTC Perera,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,215,5
567360,New Zealand,MJ Guptill,5,BJ Watling,20,KS Williamson,6,GD Elliott,54,BB McCullum,13,C Munro,57,JEC Franklin,53,NL McCullum,2,JDS Neesham,13,KD Mills,7,MJ McClenaghan,2,KD Mills,2,MJ McClenaghan,2,JDS Neesham,0,NL McCullum,1,JEC Franklin,2,GD Elliott,0,KS Williamson,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,260,9
567360,South Africa,Q de Kock,31,GC Smith,116,CA Ingram,25,F du Plessis,19,F Behardien,4,DA Miller,15,R McLaren,25,RK Kleinveldt,6,AM Phangiso,9,DW Steyn,4,not_batted,0,DW Steyn,0,LL Tsotsobe,4,RK Kleinveldt,0,AM Phangiso,0,R McLaren,4,F Behardien,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,264,9
565816,India,G Gambhir,24,RG Sharma,4,V Kohli,0,Yuvraj Singh,0,SK Raina,83,MS Dhoni,15,RA Jadeja,39,R Ashwin,19,B Kumar,31,Mohammed Shami,1,not_batted,0,B Kumar,0,Mohammed Shami,1,I Sharma,1,R Ashwin,0,Yuvraj Singh,0,RA Jadeja,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,226,3
565816,England,AN Cook,22,IR Bell,113,KP Pietersen,6,JE Root,31,EJG Morgan,40,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,ST Finn,2,TT Bresnan,4,CR Woakes,1,JC Tredwell,2,JE Root,0,SR Patel,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,227,10
573022,West Indies,CH Gayle,4,KOA Powell,11,RR Sarwan,0,DM Bravo,11,DJ Bravo,0,KA Pollard,0,DC Thomas,3,DJG Sammy,16,JO Holder,7,SP Narine,0,KAJ Roach,1,KAJ Roach,0,JO Holder,1,SP Narine,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,70,1
573022,Australia,GJ Maxwell,51,AJ Finch,10,UT Khawaja,8,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,CJ McKay,3,MA Starc,5,JP Faulkner,2,MG Johnson,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,71,10
573023,Australia,AJ Finch,11,UT Khawaja,3,PJ Hughes,21,MJ Clarke,16,GJ Bailey,125,MS Wade,16,GJ Maxwell,0,JP Faulkner,39,MG Johnson,16,not_batted,0,not_batted,0,CJ McKay,0,MA Starc,5,JP Faulkner,0,MG Johnson,0,GJ Maxwell,4,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,266,10
573023,West Indies,CH Gayle,4,KOA Powell,83,RR Sarwan,0,DM Bravo,14,DJ Bravo,45,KA Pollard,1,DC Thomas,0,DJG Sammy,8,JO Holder,9,SP Narine,24,not_batted,0,KAJ Roach,1,JO Holder,1,DJG Sammy,3,DJ Bravo,1,SP Narine,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,212,7
573024,Australia,SR Watson,122,AJ Finch,38,PJ Hughes,86,MJ Clarke,15,GJ Bailey,44,GJ Maxwell,4,MS Wade,4,JP Faulkner,2,MG Johnson,8,not_batted,0,not_batted,0,CJ McKay,2,MA Starc,1,MG Johnson,1,JP Faulkner,4,GJ Maxwell,1,MJ Clarke,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,329,10
573024,West Indies,KOA Powell,47,DC Thomas,19,DM Bravo,86,DJ Bravo,51,CH Gayle,2,KA Pollard,9,AD Russell,43,RR Sarwan,12,DJG Sammy,8,SP Narine,1,KAJ Roach,1,KAJ Roach,1,AD Russell,0,DJG Sammy,2,DJ Bravo,1,SP Narine,2,CH Gayle,0,KA Pollard,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,290,7
573025,West Indies,KOA Powell,9,J Charles,0,DM Bravo,4,DJ Bravo,3,KA Pollard,109,N Deonarine,10,DC Thomas,7,DJG Sammy,25,AD Russell,18,SP Narine,23,TL Best,1,TL Best,2,AD Russell,1,DJG Sammy,0,SP Narine,2,DJ Bravo,0,N Deonarine,0,KA Pollard,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,220,5
573025,Australia,SR Watson,76,AJ Finch,25,PJ Hughes,23,MJ Clarke,37,AC Voges,28,MS Wade,13,GJ Maxwell,1,not_batted,0,not_batted,0,not_batted,0,not_batted,0,CJ McKay,1,MG Johnson,3,GJ Maxwell,1,BCJ Cutting,3,JP Faulkner,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,221,10
573026,Australia,SR Watson,0,PJ Hughes,29,AJ Finch,1,SE Marsh,40,AC Voges,112,BJ Haddin,43,JP Faulkner,31,not_batted,0,not_batted,0,not_batted,0,not_batted,0,CJ McKay,3,MG Johnson,3,BCJ Cutting,1,JP Faulkner,1,XJ Doherty,1,AJ Finch,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,274,10
573026,West Indies,J Charles,100,KOA Powell,2,DM Bravo,33,DJ Bravo,13,KA Pollard,45,N Deonarine,4,DC Thomas,19,DJG Sammy,23,SP Narine,0,KAJ Roach,2,TL Best,0,TL Best,2,DJG Sammy,0,KAJ Roach,1,SP Narine,0,DJ Bravo,2,KA Pollard,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,257,5
569240,England,AN Cook,4,IR Bell,64,IJL Trott,68,JE Root,56,EJG Morgan,1,JC Buttler,21,CR Woakes,17,SCJ Broad,1,GP Swann,16,ST Finn,0,JM Anderson,0,JM Anderson,1,ST Finn,1,SCJ Broad,1,CR Woakes,2,GP Swann,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,258,7
569240,New Zealand,BJ Watling,2,MJ Guptill,27,KS Williamson,74,LRPL Taylor,22,GD Elliott,22,BB McCullum,69,JEC Franklin,3,NL McCullum,14,AM Ellis,13,not_batted,0,not_batted,0,KD Mills,2,MJ McClenaghan,4,AM Ellis,1,NL McCullum,0,JEC Franklin,3,KS Williamson,0,GD Elliott,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,259,10
569241,New Zealand,BJ Watling,7,HD Rutherford,11,KS Williamson,33,LRPL Taylor,100,GD Elliott,23,BB McCullum,74,JEC Franklin,1,NL McCullum,7,TG Southee,2,KD Mills,3,TA Boult,1,KD Mills,0,TA Boult,0,JEC Franklin,0,TG Southee,1,NL McCullum,0,KS Williamson,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,269,2
