total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
346.3333333333333,0.8033876397702086,31.093055555555555,4.833333333333333,0.3333333333333333,0.11499611499611499,1.06257649425398,589309
465.0,0.8171040136994057,33.18475274725275,3.8333333333333335,1.5,0.12481644640234947,1.022027591029593,589310
311.5,0.8193513173092892,41.02162698412699,2.6666666666666665,1.3333333333333333,0.12088156723063222,1.0666565331942628,565812
329.0,0.915107415107415,30.44736842105263,4.0,0.3333333333333333,0.05940046967813234,1.1160086969732494,573014
201.16666666666666,0.8273530833402111,36.07553606237817,3.5,0.5,0.04120934365245859,1.1284788740499416,573015
465.0,0.8171040136994057,33.18475274725275,3.8333333333333335,1.5,0.12481644640234947,1.022027591029593,565813
467.6666666666667,0.8048280426448698,48.08552631578948,4.666666666666667,0.8333333333333334,0.09950966198804563,0.9936461031937163,573016
254.5,0.8118859108854708,32.87566137566137,2.1666666666666665,0.5,0.12961322704458225,1.0479783963455365,567358
311.5,0.8193513173092892,41.02162698412699,2.6666666666666665,1.3333333333333333,0.12088156723063222,1.0666565331942628,565814
258.1666666666667,0.8040143386032764,35.88989898989899,2.5,0.5,0.09226841721371261,0.9339710878447884,567359
284.6666666666667,1.0241799777454264,37.42638888888889,2.5,1.3333333333333333,0.11283101412773128,1.7304890568565376,565815
380.8333333333333,0.8551103097412963,44.2938596491228,4.166666666666667,0.6666666666666666,0.08970762036343842,1.0750507694146842,573018
258.1666666666667,0.8040143386032764,35.88989898989899,2.5,0.5,0.09226841721371261,0.9339710878447884,567360
481.0,0.8167459176891357,33.691697191697195,4.166666666666667,1.3333333333333333,0.1330116332486265,1.0361319194576877,565816
235.83333333333334,0.8154122559798394,24.832783882783882,3.0,0.5,0.08333333333333333,1.0385469816468946,573022
276.5,0.8019602039707602,44.62938596491228,3.1666666666666665,0.5,0.06258186158472397,0.9900365049955274,573023
330.8333333333333,0.8295669363188719,47.144537480063796,3.6666666666666665,0.5,0.06813307271417822,1.03034290061055,573024
231.83333333333334,0.8840884701410033,24.432783882783884,3.0,0.5,0.0782336578581363,1.1271239677415683,573025
91.16666666666667,0.6934851987576103,39.34848484848485,1.5,0.16666666666666666,0.018252032775249706,0.8544394576164772,573026
282.1666666666667,0.6384000792912614,34.99722222222223,2.6666666666666665,1.0,0.11089875817850998,0.8098637711227406,569240
200.16666666666666,0.7626384427149323,30.302398989898993,2.5,0.3333333333333333,0.06698273766107464,0.8536439317007721,569241
200.16666666666666,0.7626384427149323,30.302398989898993,2.5,0.3333333333333333,0.06698273766107464,0.8536439317007721,569242
14.166666666666666,0.4639752791068581,14.166666666666666,1.0,0.0,,,593985
260.1666666666667,0.7642668632664232,35.62566137566137,2.1666666666666665,0.5,0.13054955663259724,0.9406299080876652,567368
260.1666666666667,0.7642668632664232,35.62566137566137,2.1666666666666665,0.5,0.13054955663259724,0.9406299080876652,567370
258.3333333333333,0.8144352682701871,39.93677248677248,2.5,0.8333333333333334,0.13685129740518964,0.9491377470408882,567371
190.33333333333334,0.7288171536663287,28.909722222222218,3.1666666666666665,0.16666666666666666,0.09007013658176448,1.1583530126452166,567372
101.83333333333333,0.6845718173745415,22.399999999999995,1.0,0.16666666666666666,0.09903011740684024,0.8922899200406773,623573
105.66666666666667,0.7255463467211639,26.899999999999995,1.0,0.16666666666666666,0.10448534690270178,1.0388199216155631,623574
96.16666666666667,0.8228677752925924,26.024999999999995,1.0,0.3333333333333333,0.0924496766097781,1.1534747136234025,623575
22.5,0.6172696947364339,22.5,1.0,0.0,0.15202702702702703,1.2220271659309128,601613
437.1666666666667,0.9062796566552328,37.43936202686202,3.6666666666666665,0.8333333333333334,0.14128227444154337,1.020423456313804,566923
261.4,0.655556507635851,31.830808080808083,2.4,0.6,0.09991189427312776,0.8386861140110055,566924
459.3333333333333,0.7952480526003729,38.890750915750914,3.8333333333333335,1.0,0.15230635335073978,1.0323322115115605,566925
309.1666666666667,0.8038303297530436,28.948717948717945,2.8333333333333335,1.3333333333333333,0.10934514504081987,0.9568820347089871,578614
314.6666666666667,0.7421317233647636,32.794444444444444,4.5,0.8333333333333334,0.14639739258496406,1.0502142082120034,578615
459.3333333333333,0.7952480526003729,38.890750915750914,3.8333333333333335,1.0,0.15230635335073978,1.0323322115115605,578616
292.1666666666667,0.7675995435293705,36.1412037037037,2.8333333333333335,0.3333333333333333,0.13503305004721433,1.043674513047524,578617
318.0,0.8730808055548782,36.87142857142857,3.5,0.8333333333333334,0.1269113149847095,1.0612606497919994,578618
344.3333333333333,0.7756893069835614,29.685364635364635,4.333333333333333,0.8333333333333334,0.1083694866232827,1.0783265542877614,578619
459.3333333333333,0.7952480526003729,38.890750915750914,3.8333333333333335,1.0,0.15230635335073978,1.0323322115115605,578621
459.3333333333333,0.7952480526003729,38.890750915750914,3.8333333333333335,1.0,0.15230635335073978,1.0323322115115605,578624
292.1666666666667,0.7675995435293705,36.1412037037037,2.8333333333333335,0.3333333333333333,0.13503305004721433,1.043674513047524,578625
318.0,0.8730808055548782,36.87142857142857,3.5,0.8333333333333334,0.1269113149847095,1.0612606497919994,566946
269.3333333333333,0.8540116945966941,35.5412037037037,3.0,0.5,0.13086883903812713,1.1920880362063073,566947
341.5,0.82767953610225,42.85149572649573,2.8333333333333335,1.5,0.12708890356113348,1.0531274569043354,566948
257.5,0.7666046536455918,34.57175925925926,2.6666666666666665,0.3333333333333333,0.10518176170791281,1.0509507219722745,597923
