bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
Shahid Afridi,Pakistan,-0.7025117739403454,44,1.8333333333333333,0.049162011173184354,18,3.6836828914391235,2.297315077072017,0.1360759493670886,0.2654320987654321,5.935573552024917
MG Johnson,Australia,-0.7387717690192483,36,1.8,0.04466501240694789,15,3.430887000108968,2.0650903442125736,0.14049586776859505,0.2639269406392694,5.422606346928079
SL Malinga,Sri Lanka,-0.8119122257053292,34,1.8888888888888888,0.043758043758043756,10,2.793436941636388,2.6782141802465786,0.143646408839779,0.27610619469026554,5.1433205651319716
Mohammad Hafeez,Pakistan,-0.5846394984326019,29,1.1153846153846154,0.0388739946380697,21,3.6836828914391235,2.2051884868182148,0.08860759493670886,0.14814814814814814,5.08696855344158
Z Khan,India,-0.7859477124183006,25,2.272727272727273,0.05197505197505198,9,3.597670796424259,2.347106699792202,0.08196721311475409,0.30864197530864196,5.051054768349191
B Lee,Australia,-0.7556270096463023,32,1.7777777777777777,0.04539007092198582,14,3.430887000108968,1.9240528073803693,0.10330578512396695,0.20792563600782782,4.966953050507695
Saeed Ajmal,Pakistan,-0.5911062906724512,27,1.588235294117647,0.04954128440366973,14,3.6836828914391235,2.137043224007538,0.07278481012658228,0.18253968253968253,4.896651474845211
TG Southee,New Zealand,-0.7794117647058824,25,2.0833333333333335,0.04716981132075472,7,2.5626813744888537,2.721630229707129,0.15126050420168066,0.278829604130809,4.875162908984707
JDP Oram,New Zealand,-0.7739273927392739,23,2.090909090909091,0.04904051172707889,6,2.5626813744888537,2.4665757205104972,0.14285714285714285,0.30722891566265065,4.747359056990392
Umar Gul,Pakistan,-0.7476635514018691,24,1.263157894736842,0.0375,15,3.6836828914391235,2.322298175374663,0.0759493670886076,0.17777777777777778,4.665987615119178
Wahab Riaz,Pakistan,-0.8513274336283185,22,2.0,0.04573804573804574,9,3.6836828914391235,2.361322674575415,0.06329113924050633,0.2469135802469136,4.65018359487027
LL Tsotsobe,South Africa,-0.6404109589041096,14,2.3333333333333335,0.0748663101604278,3,2.5595238095238093,3.1831450472393503,0.0782608695652174,0.3,4.6375365224471725
R Rampaul,West Indies,-0.8760469011725294,26,2.3636363636363638,0.0497131931166348,4,2.11230378578024,3.156455216905985,0.0916030534351145,0.3103448275862069,4.628173627259448
MM Patel,India,-0.8461538461538461,22,1.6923076923076923,0.04081632653061224,10,3.597670796424259,2.3852683077089916,0.06557377049180328,0.2222222222222222,4.516790437079313
BV Vitori,Zimbabwe,-0.740484429065744,12,2.4,0.056074766355140186,3,1.5873400606780108,2.3399234929428827,0.1368421052631579,0.4727272727272727,4.503611398146429
RA Jadeja,India,-0.7705223880597015,20,2.0,0.048426150121065374,9,3.597670796424259,1.7280799186962619,0.06885245901639345,0.2592592592592593,4.502270535653659
KAJ Roach,West Indies,-0.8086710650329878,28,1.4,0.03263403263403263,8,2.11230378578024,2.7655748660388553,0.1450381679389313,0.2456896551724138,4.467829233943197
DW Steyn,South Africa,-0.7012302284710018,21,1.9090909090909092,0.05263157894736842,6,2.5595238095238093,2.671543849500475,0.11304347826086956,0.21666666666666665,4.465126873882479
Imran Tahir,South Africa,-0.6255144032921811,14,2.8,0.09210526315789473,3,2.5595238095238093,1.5682148852993727,0.0782608695652174,0.3,4.383810932896642
R Ashwin,India,-0.7794299876084263,22,1.5714285714285714,0.034976152623211444,10,3.597670796424259,1.8771535578745973,0.05901639344262295,0.2,4.275229389809286
HK Bennett,New Zealand,-0.9142156862745098,17,1.8888888888888888,0.045576407506702415,4,2.5626813744888537,2.956685937099642,0.09243697478991597,0.2981927710843374,4.274860993549383
M Morkel,South Africa,-0.7529644268774703,21,1.9090909090909092,0.05511811023622047,6,2.5595238095238093,2.671543849500475,0.08695652173913043,0.16666666666666669,4.234649946853293
RJ Peterson,South Africa,-0.7205882352941176,15,2.142857142857143,0.061224489795918366,5,2.5595238095238093,1.8823256927085577,0.11304347826086956,0.26,4.232427025126134
SJ Benn,West Indies,-0.7926136363636364,16,2.2857142857142856,0.05734767025089606,3,2.11230378578024,1.9791793485501439,0.08396946564885496,0.3793103448275862,4.178138737934489
Yuvraj Singh,India,-0.8163265306122449,15,1.3636363636363635,0.0375,9,3.597670796424259,2.347106699792202,0.05573770491803279,0.20987654320987653,4.133938399422406
BAW Mendis,Sri Lanka,-0.671003717472119,16,1.4545454545454546,0.0443213296398892,8,2.793436941636388,2.4374982847837674,0.08287292817679558,0.19911504424778761,4.133139875059195
M Muralitharan,Sri Lanka,-0.6933638443935927,15,1.875,0.04950495049504951,6,2.793436941636388,2.0518045118547192,0.07734806629834254,0.24778761061946905,4.1256361284635314
