bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
RJ Harris,Australia,-0.7787234042553192,36,2.769230769230769,0.06557377049180328,10,3.368462523392101,2.030028674809873,0.14545454545454545,0.32463768115942027,6.269648574423862
CJ McKay,Australia,-0.8044515103338633,27,2.25,0.0533596837944664,9,3.368462523392101,1.953949369303357,0.10909090909090909,0.27053140096618356,5.512222138602094
SCJ Broad,England,-0.8486293206197855,30,2.0,0.042134831460674156,10,2.962530400413132,2.0209124601857815,0.14814814814814814,0.27789473684210525,5.4736844661534585
A Nehra,India,-0.946611909650924,28,1.4,0.03036876355748373,15,3.299004538134973,2.3025103449196607,0.10869565217391304,0.1901565995525727,5.448521780664198
DE Bollinger,Australia,-0.6812796208530806,28,1.75,0.04869565217391304,11,3.368462523392101,2.042682879410213,0.09545454545454546,0.19367588932806323,5.406835197869749
JH Davey,Scotland,-0.6,5,2.5,0.11904761904761904,1,1.626689191600398,1.7111962338539188,0.35714285714285715,0.5,5.345121613201136
GP Swann,England,-0.7316715542521994,26,2.0,0.052104208416833664,9,2.962530400413132,2.137299881611908,0.12345679012345678,0.2573099415204678,5.344599183276895
NLTC Perera,Sri Lanka,-0.8539325842696629,20,1.6666666666666667,0.05263157894736842,8,3.1792930482458965,2.779384284626951,0.10256410256410256,0.26515151515151514,5.236395031920731
SL Malinga,Sri Lanka,-0.6868884540117417,17,1.8888888888888888,0.04843304843304843,6,3.1792930482458965,2.7065270609151115,0.08205128205128205,0.2828282828282828,5.031687921476792
SW Tait,Australia,-0.6484848484848484,8,2.6666666666666665,0.07476635514018691,2,3.368462523392101,2.9625304004131316,0.02727272727272727,0.3043478260869565,4.977302102954178
RS Bopara,England,-0.6290322580645161,4,4.0,0.10256410256410256,1,2.962530400413132,1.2643942209159602,0.024691358024691357,0.4631578947368421,4.951109439920996
P Kumar,India,-0.8602620087336245,19,1.3571428571428572,0.032148900169204735,10,3.299004538134973,2.510539209505385,0.06521739130434782,0.1711409395973154,4.807685229291636
Shakib Al Hasan,Bangladesh,-0.806060606060606,37,1.608695652173913,0.03477443609022556,7,1.2643942209159602,2.328070848265546,0.16216216216216217,0.27272727272727276,4.76917445171926
J Theron,South Africa,-0.9230769230769231,12,3.0,0.06666666666666667,4,3.131122172150953,1.2043178018917367,0.0759493670886076,0.3402061855670103,4.743862775949727
RA Jadeja,India,-0.7985386221294363,19,0.95,0.02483660130718954,12,3.299004538134973,2.3751805528767815,0.06956521739130435,0.15212527964205813,4.735250846370191
KMDN Kulasekara,Sri Lanka,-0.7509829619921363,16,1.0666666666666667,0.027923211169284468,12,3.1792930482458965,2.3782895641306125,0.08205128205128205,0.1414141414141414,4.693075723913806
Umar Gul,Pakistan,-1.0229885057471264,16,2.0,0.035955056179775284,2,1.4298806362492829,3.0850874026251023,0.12345679012345678,0.6410256410256411,4.678782878293045
R Ashwin,India,-0.8129675810473815,14,2.0,0.04294478527607362,6,3.299004538134973,2.1721975757673326,0.05217391304347826,0.22818791946308722,4.620893070495903
MA Starc,Australia,-0.7008547008547008,4,2.0,0.04878048780487805,1,3.368462523392101,3.239148793190435,0.01818181818181818,0.40579710144927533,4.619680504362312
S Sreesanth,India,-1.1224489795918366,16,1.6,0.02909090909090909,7,3.299004538134973,2.49230850865158,0.06521739130434782,0.24448705656759345,4.606430024569772
LL Tsotsobe,South Africa,-0.7528301886792453,16,1.6,0.040100250626566414,9,3.131122172150953,1.6034317067835313,0.0949367088607595,0.18900343642611683,4.589613150533332
S Randiv,Sri Lanka,-0.751004016064257,15,1.0,0.026737967914438502,10,3.1792930482458965,2.6030093576675712,0.07692307692307693,0.1590909090909091,4.586017148025571
M Morkel,South Africa,-0.8574423480083857,16,1.7777777777777777,0.039119804400977995,7,3.131122172150953,1.6895485914673507,0.0949367088607595,0.24300441826215022,4.576676376074023
TT Bresnan,England,-0.8854679802955665,19,1.2666666666666666,0.02642559109874826,11,2.962530400413132,2.0209124601857815,0.09259259259259259,0.15789473684210525,4.575985615020101
SR Watson,Australia,-0.8169291338582677,16,1.2307692307692308,0.03855421686746988,8,3.368462523392101,2.0782959736546456,0.05454545454545454,0.15217391304347824,4.465578805403969
UWMBCA Welegedara,Sri Lanka,-0.9385113268608414,10,1.6666666666666667,0.034482758620689655,5,3.1792930482458965,2.620801099061969,0.05641025641025641,0.23333333333333334,4.367015572990628
Abdur Razzak,Bangladesh,-0.7443396226415094,26,1.4444444444444444,0.032953105196451206,7,1.2643942209159602,2.326264191582594,0.14414414414414414,0.2424242424242424,4.332370993537385
JM Anderson,England,-0.8533724340175953,16,1.3333333333333333,0.027491408934707903,7,2.962530400413132,2.210042020003237,0.07407407407407407,0.19849624060150375,4.329351178364047
HMRKB Herath,Sri Lanka,-0.6470588235294118,4,2.0,0.06060606060606061,2,3.1792930482458965,2.515265014940819,0.02564102564102564,0.26515151515151514,4.311150482344108
AD Mathews,Sri Lanka,-0.6815642458100558,10,1.25,0.040983606557377046,6,3.1792930482458965,2.5981948761387543,0.046153846153846156,0.1590909090909091,4.295801241084965
YK Pathan,India,-0.926509186351706,12,1.2,0.0339943342776204,7,3.299004538134973,2.235941721387131,0.04782608695652174,0.17929050814956854,4.260985722855363
Z Khan,India,-0.8286852589641435,11,1.1,0.026442307692307692,7,3.299004538134973,2.331818530280402,0.05217391304347826,0.19558964525407477,4.23554219682802
I Sharma,India,-0.8113207547169812,7,1.75,0.05426356589147287,2,3.299004538134973,2.8173511591210882,0.013043478260869565,0.1711409395973154,4.1909873822756
NM Hauritz,Australia,-0.8768211920529801,14,0.9333333333333333,0.021148036253776436,10,3.368462523392101,1.8803981856623155,0.05,0.11159420289855072,4.174837947293101
MG Johnson,Australia,-0.7788844621513944,12,1.3333333333333333,0.030690537084398978,6,3.368462523392101,1.9711747568673152,0.045454545454545456,0.16908212560386474,4.162161588315419
Yuvraj Singh,India,-0.7348927875243665,11,0.9166666666666666,0.029177718832891247,8,3.299004538134973,2.2726708847450783,0.0391304347826087,0.12835570469798657,4.143356641101334
SE Bond,New Zealand,-0.725609756097561,6,2.0,0.05042016806722689,2,1.7315254917466654,3.368462523392101,0.05825242718446602,0.32727272727272727,4.133398078072678
CRD Fernando,Sri Lanka,-0.7913907284768212,9,1.5,0.03765690376569038,2,3.1792930482458965,2.2256436951632854,0.03076923076923077,0.3181818181818182,4.104272087388168
J Botha,South Africa,-0.867816091954023,13,1.0,0.02152317880794702,10,3.131122172150953,1.7191573418072683,0.06962025316455696,0.12474226804123711,4.104213646089711
Shapoor Zadran,Afghanistan,-0.8053097345132744,4,2.0,0.04395604395604396,1,1.7111962338539188,1.626689191600398,0.3,0.3333333333333333,4.100142483388243
SPD Smith,Australia,-0.9329073482428115,9,1.2857142857142858,0.030821917808219176,3,3.368462523392101,2.8448946270440456,0.02727272727272727,0.20289855072463767,4.093786378255751
CK Langeveldt,South Africa,-0.9921259842519685,13,1.4444444444444444,0.025793650793650792,6,3.131122172150953,1.830395592607969,0.06329113924050633,0.18900343642611683,4.069636169110933
PP Ojha,India,-0.7520891364902507,8,1.3333333333333333,0.02962962962962963,2,3.299004538134973,2.596304645861579,0.021739130434782608,0.28523489932885904,4.058140408022141
Shoaib Akhtar,Pakistan,-0.8633879781420765,19,1.4615384615384615,0.030063291139240507,5,1.4298806362492829,2.939304205393635,0.09876543209876543,0.20512820512820515,4.02242893559946
MF Maharoof,Sri Lanka,-0.952054794520548,5,1.6666666666666667,0.03597122302158273,2,3.1792930482458965,2.67596323750641,0.02564102564102564,0.26515151515151514,4.0209253469500705
XJ Doherty,Australia,-0.7586206896551724,4,2.0,0.06060606060606061,1,3.368462523392101,3.1792930482458965,0.0,0.0,4.003146518445411
JH Kallis,South Africa,-0.8005540166204986,11,1.1,0.03806228373702422,7,3.131122172150953,1.8660904426366767,0.04430379746835443,0.1134020618556701,3.9856038480932363
JR Hopes,Australia,-0.8772504091653028,11,0.7857142857142857,0.020522388059701493,8,3.368462523392101,2.2567446684991572,0.03636363636363636,0.10144927536231883,3.9758767931672976
Harbhajan Singh,India,-0.7852760736196319,9,1.5,0.03515625,4,3.299004538134973,2.249424703803149,0.021739130434782608,0.14261744966442952,3.973001696546676
T Thushara,Sri Lanka,-0.9561128526645768,8,1.3333333333333333,0.02622950819672131,4,3.1792930482458965,2.5982570939825123,0.035897435897435895,0.1856060606060606,3.9507405256266592
Shafiul Islam,Bangladesh,-1.051054384017758,28,1.3333333333333333,0.029567053854276663,7,1.2643942209159602,2.241301520177461,0.09009009009009009,0.15151515151515152,3.936698103719992
TG Southee,New Zealand,-0.8916666666666667,15,1.5,0.035046728971962614,4,1.7315254917466654,2.6974876895574997,0.07766990291262135,0.2181818181818182,3.900164680198083
DR Tuffey,New Zealand,-0.9251336898395722,12,1.5,0.03468208092485549,5,1.7315254917466654,2.5384262292559905,0.0970873786407767,0.2181818181818182,3.881639358889782
TM Dilshan,Sri Lanka,-0.7178423236514523,7,0.875,0.04046242774566474,6,3.1792930482458965,2.256565620063423,0.03076923076923077,0.10606060606060606,3.880483698202418
DJ Bravo,West Indies,-0.7947368421052632,12,1.7142857142857142,0.039735099337748346,3,1.5858432012749222,2.273125608560211,0.11940298507462686,0.26666666666666666,3.8784091583508036
MM Patel,India,-0.6272401433691757,7,1.1666666666666667,0.04,5,3.299004538134973,1.9728200844965373,0.021739130434782608,0.11409395973154361,3.8550585229518286
KAJ Roach,West Indies,-0.7129337539432177,10,1.6666666666666667,0.04424778761061947,3,1.5858432012749222,1.8755743014235147,0.13432835820895522,0.3,3.846159786738229
