match_id,match_date,team,opponent,location,team_score,opponent_win_ratio,location_win_ratio,last_5_match_win_ratio,batsman_mean,batsman_max,bowler_mean,bowler_max,is_train,noise,target_score,runs_scored,win
366711,2009-01-07,New Zealand,West Indies,Wellington,2.279844646651876,1.0,1.0,0.8,2.103325943017618,2.3551695098504952,2.909076698775037,3.7980564485857617,True,False,128,129,1
378753,2009-01-10,Bangladesh,Zimbabwe,Mirpur,0.7978609625668449,0.0,0.0,0.0,1.9652024843378595,3.3363571768688547,3.2860177294760593,3.750149652055382,True,False,205,167,0
378755,2009-01-14,Bangladesh,Sri Lanka,Mirpur,0.7978609625668449,0.0,0.0,0.0,2.5311866335552637,3.3363571768688547,4.8071504498682085,6.624767880082084,True,False,147,151,1
351684,2009-01-16,South Africa,Australia,Melbourne Cricket Ground,2.903333848213366,0.0,0.6,0.6,2.5826834823138283,3.6918507613699103,4.062072174925482,5.757505016430362,True,False,271,272,1
351685,2009-01-18,South Africa,Australia,Hobart,2.903333848213366,0.5,0.6,0.6,2.725805795858163,3.6918507613699103,4.092790626204362,5.757505016430362,True,False,249,244,0
385749,2009-01-20,Pakistan,Sri Lanka,Karachi,3.5317634173055863,0.0,0.6666666666666666,0.6,4.0305861051357486,5.122500603860384,4.552893374737634,6.624767880082084,True,False,219,220,1
385750,2009-01-21,Pakistan,Sri Lanka,Karachi,3.5317634173055863,0.5,0.75,0.8,3.3371244065477823,5.122500603860384,4.790764368867947,6.624767880082084,True,False,290,161,0
378759,2009-01-23,Bangladesh,Zimbabwe,Mirpur,0.7978609625668449,0.0,0.25,0.2,2.4337671717380287,3.3363571768688547,2.9892497974534478,3.750149652055382,True,False,119,121,1
351686,2009-01-23,South Africa,Australia,Sydney Cricket Ground,2.903333848213366,0.3333333333333333,0.4,0.4,2.648880302162774,3.6918507613699103,5.1305413875718715,5.757505016430362,True,False,269,270,1
385751,2009-01-24,Pakistan,Sri Lanka,Lahore,3.5317634173055863,0.3333333333333333,0.0,0.8,3.203120920881419,5.122500603860384,5.081777598585651,6.624767880082084,True,False,309,75,0
351687,2009-01-26,South Africa,Australia,Adelaide Oval,2.903333848213366,0.5,0.4,0.4,2.6953824825656785,3.150489191738505,4.073547053225439,5.323372164516594,True,False,222,223,1
386530,2009-01-28,India,Sri Lanka,Rangiri Dambulla International Stadium,3.6967984535690133,0.8,1.0,0.8,4.393242747286255,5.03004403864254,4.755759233814001,6.624767880082084,True,False,246,247,1
351688,2009-01-30,Australia,South Africa,Perth,3.1509790209790207,1.0,0.6,0.6,2.8300130498974863,3.6858269446498,3.9458812774092484,4.45554770717967,True,False,288,249,0
