negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,opponent_variability,winning_contribution,winning_wicket_rate_contribution,match_id
-0.7994304125497042,7.0,1.2023809523809523,0.03151637774249738,4.25,2.75,0.04464285714285714,0.14705882352941177,589309
-0.7874644449132093,18.25,1.6269513574660632,0.03720339617222525,5.75,5.0,0.0985576923076923,0.22288359788359788,589310
-0.9201492286173575,6.5,0.7023809523809523,0.015387345484432864,4.75,3.0,0.04653679653679653,0.12631975867269984,565812
-0.9134556262017296,23.5,1.2704545454545455,0.028050445073218556,9.25,4.0,0.11330935251798561,0.21180555555555555,573014
-0.9134556262017296,23.5,1.2704545454545455,0.028050445073218556,9.25,4.0,0.11330935251798561,0.21180555555555555,573015
-0.8264733137517263,12.25,1.659722222222222,0.0383172873379275,6.5,3.75,0.0839041095890411,0.21746817538896748,565813
-0.9134556262017296,23.5,1.2704545454545455,0.028050445073218556,9.25,4.0,0.11330935251798561,0.21180555555555555,573016
-0.8449895556385169,5.25,0.7202380952380952,0.028706203186080137,2.0,2.5,0.0528169014084507,0.1929824561403509,567358
-0.6946606757075988,5.75,1.1607142857142856,0.03576807842276948,3.75,2.5,0.036317567567567564,0.14338235294117646,565814
-0.7724482221653973,9.25,1.4548611111111112,0.05979344116374223,3.5,2.5,0.10714285714285714,0.19770408163265304,567359
-0.6946606757075988,5.75,1.1607142857142856,0.03576807842276948,3.75,2.5,0.036317567567567564,0.14338235294117646,565815
-0.9134556262017296,23.5,1.2704545454545455,0.028050445073218556,9.25,4.0,0.11330935251798561,0.21180555555555555,573018
-0.749133211842107,6.25,1.5104166666666667,0.03681461977724372,2.25,2.0,0.04285714285714286,0.1020408163265306,567360
-0.8290981282044977,12.5,1.534722222222222,0.036287738647996365,6.75,4.0,0.08732876712328769,0.21746817538896748,565816
-0.7896786029620003,19.666666666666668,1.7375,0.041358454460710875,6.333333333333333,4.0,0.07317073170731707,0.23931623931623927,573022
-0.8260590234266878,14.5,1.4093406593406592,0.036104599789288476,4.5,3.25,0.07783018867924528,0.18125000000000002,573023
-0.8260590234266878,14.5,1.4093406593406592,0.036104599789288476,4.5,3.25,0.07783018867924528,0.18125000000000002,573024
-0.8325141323863907,12.75,1.4670138888888888,0.039181431188349075,5.5,3.25,0.046146341463414633,0.1901024145922105,573025
-0.7940699091268364,13.0,1.4093406593406592,0.03574314643248686,4.5,3.5,0.08254716981132075,0.20625,573026
-0.8318433880805846,6.75,1.2202380952380953,0.03898017578881986,2.5,2.5,0.07067404426559357,0.19473684210526315,569240
-0.7679156882438656,12.0,1.45625,0.03298626103333255,5.75,4.0,0.08340650977637279,0.18688118811881188,569241
-0.7679156882438656,12.0,1.45625,0.03298626103333255,5.75,4.0,0.08340650977637279,0.18688118811881188,569242
-0.8539828826532367,13.5,1.6785714285714286,0.03980594862438544,3.5,3.0,0.07311320754716981,0.22291666666666665,593985
-0.7347026728632116,17.0,1.8291666666666666,0.045493043978709735,5.0,3.25,0.10439560439560439,0.23490566037735847,567368
-0.6977285416899688,15.5,1.698611111111111,0.04328062124389894,4.5,3.5,0.0879120879120879,0.2122641509433962,567370
-0.6977285416899688,15.5,1.698611111111111,0.04328062124389894,4.5,3.5,0.0879120879120879,0.2122641509433962,567371
-0.7993705174548246,12.0,1.4409722222222223,0.03305658325263513,4.0,2.75,0.10428571428571429,0.19770408163265304,567372
-1.1093893012170477,0.3333333333333333,0.16666666666666666,0.0045662100456621,0.0,1.0,0.0,,623573
-0.8538940087319098,2.0,1.75,0.03229385045422781,0.0,1.0,0.0,,623574
-0.9655967752429861,0.75,0.375,0.007591324200913242,0.0,1.0,0.0,,623575
-0.7205330280535496,9.5,1.2154761904761904,0.034789995543672014,3.25,3.0,0.07333333333333332,0.15625,601613
-0.8427199408778356,8.25,1.3611111111111112,0.030886040948257178,3.5,2.5,0.09931506849315068,0.2125,566923
-0.9205204780014173,14.0,1.4662698412698414,0.030586109745814417,5.0,4.0,0.080078125,0.21389324960753534,566924
-0.8427199408778356,8.25,1.3611111111111112,0.030886040948257178,3.5,2.5,0.09931506849315068,0.2125,566925
-0.8317442572807632,14.0,1.7,0.03802497842328482,4.5,3.0,0.1095505617977528,0.21864406779661016,578614
-0.8445530784879177,14.75,1.315359477124183,0.03293293967101312,4.25,3.75,0.07327586206896552,0.19166666666666668,578615
-0.7862125899881335,19.0,1.8971153846153848,0.046403700562465455,7.5,3.25,0.1111111111111111,0.23370765832106039,578616
-0.8303031462029764,8.5,1.3194444444444444,0.033924948081991896,3.5,2.75,0.08904109589041095,0.1875,578617
-0.712027121953071,19.75,1.7907967032967034,0.04570412404092071,4.75,4.75,0.11829710144927538,0.2282590051457976,578618
-0.7408101863253707,13.75,1.4310515873015872,0.0376525385487896,6.0,3.25,0.08143939393939394,0.2069620253164557,578619
-0.7631705076954701,12.0,1.2600108225108224,0.03102595611166855,3.75,3.25,0.10416666666666667,0.21409574468085105,578621
-0.8427199408778356,8.25,1.3611111111111112,0.030886040948257178,3.5,2.5,0.09931506849315068,0.2125,578624
-0.7828844200887082,13.75,1.4364010989010987,0.035333639860051815,6.5,3.25,0.08169934640522876,0.1982695139911635,578625
-0.7924946313894814,19.75,1.625,0.03775738040370946,8.5,4.25,0.1004590395480226,0.21473445171992386,566946
-0.7408101863253707,13.75,1.4310515873015872,0.0376525385487896,6.0,3.25,0.08143939393939394,0.2069620253164557,566947
-0.8386304667736761,17.5,1.625,0.03663557245722991,7.25,4.25,0.09955420197740113,0.22875997422002267,566948
