bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
M Morkel,South Africa,-0.7560386473429952,10,1.4285714285714286,0.03194888178913738,6,2.903333848213366,1.164331977115464,0.08527131782945736,0.19186046511627908,3.9884623622044657
SJ Harmison,England,-0.903448275862069,9,1.5,0.03435114503816794,3,1.9434912142743468,3.30006615089119,0.08928571428571429,0.16666666666666669,3.977424248952921
WPUJC Vaas,Sri Lanka,-0.6517571884984026,11,0.9166666666666666,0.02696078431372549,5,2.9025623238876253,2.8965966955755262,0.03333333333333333,0.12815533980582525,3.9127922390433443
YK Pathan,India,-0.9372693726937269,6,0.6666666666666666,0.023622047244094488,7,3.6967984535690133,2.451219752863091,0.028455284552845527,0.11564625850340136,3.8840125795258773
SL Malinga,Sri Lanka,-0.8291814946619217,9,1.8,0.03862660944206009,1,2.9025623238876253,3.369306794015017,0.005555555555555556,0.10679611650485438,3.8810780774806144
FH Edwards,West Indies,-1.0137299771167048,12,1.3333333333333333,0.02708803611738149,1,1.1489262410949157,3.0133126445174643,0.125,0.2857142857142857,3.798056448585762
DW Steyn,South Africa,-0.806378132118451,9,1.125,0.025423728813559324,5,2.903333848213366,1.3591217864051846,0.07751937984496124,0.20930232558139536,3.7969499730126164
KM Dabengwa,Zimbabwe,-1.0068027210884354,4,0.8,0.02702702702702703,1,1.2943056140646505,3.374463143951096,0.16666666666666666,0.3,3.750149652055382
CS Martin,New Zealand,-0.4791666666666667,2,2.0,0.08695652173913043,1,2.279844646651876,1.9434912142743468,0.029411764705882353,0.2,3.7492382087676006
KP Pietersen,England,-0.8082191780821918,3,1.0,0.05084745762711865,1,1.9434912142743468,3.432310251783797,0.05357142857142857,0.3,3.7438134948215924
CL White,Australia,-0.8681318681318682,5,1.6666666666666667,0.06329113924050633,3,3.1509790209790207,0.9148827220762019,0.0335195530726257,0.20952380952380953,3.7163884932273614
Saeed Ajmal,Pakistan,-0.622093023255814,4,1.3333333333333333,0.037383177570093455,3,3.5317634173055863,1.8811952190769248,0.01818181818181818,0.15037593984962405,3.7078339019251674
A Symonds,Australia,-0.8962962962962963,5,1.0,0.04132231404958678,3,3.1509790209790207,2.6776495685793744,0.0223463687150838,0.13968253968253969,3.678281508601912
Kamran Hussain,Pakistan,-0.6796116504854369,3,1.5,0.04285714285714286,2,3.5317634173055863,1.2943056140646505,0.01818181818181818,0.22556390977443608,3.6584097420520507
E Chigumbura,Zimbabwe,-0.8337595907928389,10,1.0,0.03067484662576687,1,1.2943056140646505,3.252118486897604,0.1111111111111111,0.2,3.5950379793063
MJ Clarke,Australia,-0.7955390334572491,7,0.7,0.03271028037383177,6,3.1509790209790207,2.3083322065110186,0.0223463687150838,0.06984126984126984,3.593514688111841
SM Pollock,South Africa,-0.4469026548672566,5,1.25,0.04950495049504951,4,2.903333848213366,1.1489262410949157,0.046511627906976744,0.1569767441860465,3.5854400424465553
PD Collingwood,England,-0.8295964125560538,7,1.0,0.03783783783783784,2,1.9434912142743468,2.7737584774226995,0.07142857142857142,0.2,3.563461904914583
KD Mills,New Zealand,-0.7744107744107744,6,1.2,0.02608695652173913,4,2.279844646651876,1.9434912142743468,0.08823529411764706,0.15,3.562955162812497
SR Watson,Australia,-0.6424581005586593,6,1.0,0.05217391304347826,6,3.1509790209790207,1.0319044815855587,0.0335195530726257,0.10476190476190476,3.561826592380731
MR Gillespie,New Zealand,-0.6162790697674418,4,1.3333333333333333,0.03773584905660377,3,2.279844646651876,1.9434912142743468,0.07352941176470588,0.16666666666666669,3.545697192260316
