bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
MG Johnson,Australia,-0.8625712476250792,44,1.6296296296296295,0.032305433186490456,16,3.1117489287933795,2.0173655528907464,0.09309309309309309,0.20997536945812809,5.34379040301003
NM Hauritz,Australia,-0.7343199436222692,34,1.2142857142857142,0.03262955854126679,19,3.1117489287933795,1.9717195437386315,0.09009009009009009,0.1711174487943998,5.162985823121548
SR Watson,Australia,-0.8412921348314607,26,1.7333333333333334,0.04340567612687813,13,3.1117489287933795,1.7996401151988264,0.08708708708708708,0.2417582417582418,4.787947510171938
DW Steyn,South Africa,-0.8465346534653465,23,1.6428571428571428,0.033625730994152045,9,2.6611637059887245,2.4731098238530023,0.12578616352201258,0.24202420242024203,4.724502855237305
JM Anderson,England,-0.8141695702671312,30,1.875,0.042796005706134094,8,1.4437491530809163,2.2186676521334086,0.17796610169491525,0.2692307692307692,4.665476034312824
WD Parnell,South Africa,-0.9479905437352246,19,2.375,0.04738154613466334,6,2.6611637059887245,2.29056035155697,0.11320754716981132,0.32673267326732675,4.6306745400643825
JR Hopes,Australia,-0.7682008368200837,27,1.0,0.029411764705882353,16,3.1117489287933795,1.9241895037374892,0.05105105105105105,0.11514778325123154,4.474203939588418
NW Bracken,Australia,-0.7755102040816326,24,1.0434782608695652,0.024291497975708502,14,3.1117489287933795,1.9722530145539157,0.06006006006006006,0.15482054890921887,4.430284172006979
Abdur Razzak,Bangladesh,-0.7596371882086168,22,2.75,0.06567164179104477,7,2.6887458471760795,0.7294697513751092,0.1065989847715736,0.31967213114754095,4.372520872807643
DE Bollinger,Australia,-0.6945812807881774,14,2.0,0.04964539007092199,5,3.1117489287933795,2.1878161803431992,0.042042042042042045,0.30344827586206896,4.307365538436836
KD Mills,New Zealand,-0.7511792452830188,25,1.6666666666666667,0.03924646781789639,9,1.546239638039496,2.325567271431758,0.12408759124087591,0.20238095238095236,4.297160629999375
Harbhajan Singh,India,-0.8079044117647058,25,1.3157894736842106,0.02844141069397042,10,2.5979484699384607,1.9912894024673526,0.08673469387755102,0.18888888888888888,4.291586982805802
Shahid Afridi,Pakistan,-0.7369838420107719,27,1.35,0.03288672350791717,8,1.6409731275495183,2.124913850736065,0.1322314049586777,0.21621621621621623,4.247390920735375
A Nehra,India,-1.0201421800947867,27,1.588235294117647,0.0313588850174216,9,2.5979484699384607,2.043648198282394,0.08163265306122448,0.19753086419753085,4.230406026985147
A Flintoff,England,-0.6333333333333333,5,5.0,0.2631578947368421,1,1.4437491530809163,0.7114025411346577,0.0423728813559322,0.5128205128205128,4.217460845199909
SCJ Broad,England,-0.9170437405731523,25,2.0833333333333335,0.04111842105263158,6,1.4437491530809163,1.9585226618138067,0.1440677966101695,0.2905982905982906,4.2172802401963425
