country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
India,0.7391304347826086,503,39,23,17,3.696798453569014,1
Pakistan,0.8333333333333334,384,42,18,15,3.5317634173055863,2
Australia,0.7333333333333333,744,4,15,11,3.1509790209790207,3
South Africa,0.75,160,31,12,9,2.903333848213366,4
Sri Lanka,0.55,362,4,20,11,2.9025623238876253,5
New Zealand,0.8,-41,7,5,4,2.2798446466518754,6
England,0.36363636363636365,-25,-3,11,4,1.9434912142743468,7
Zimbabwe,0.1,-9,-34,10,1,1.2943056140646503,8
West Indies,0.09090909090909091,-364,-28,11,1,1.1489262410949157,9
Netherlands,0.0,0,-6,1,0,1.0404695705900524,10
Bangladesh,0.058823529411764705,-750,-62,17,1,0.7978609625668449,11
