country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
United Arab Emirates,0.5,-8,2,6,3,1131279
Sri Lanka,0.19230769230769232,-789,-50,26,5,1130742
Australia,0.4,84,-11,10,4,1072313
Bangladesh,0.36363636363636365,-284,-13,11,4,1130743
Australia,0.4,84,-11,10,4,1072314
India,0.7272727272727273,351,52,22,16,1122279
India,0.7272727272727273,351,52,22,16,1122280
South Africa,0.7058823529411765,728,19,17,12,1122281
Zimbabwe,0.5714285714285714,-51,0,7,4,1134033
Afghanistan,0.5,265,-11,12,6,1134034
South Africa,0.7058823529411765,728,19,17,12,1122283
Afghanistan,0.5,265,-11,12,6,1134035
Afghanistan,0.5,265,-11,12,6,1134036
India,0.7272727272727273,351,52,22,16,1122284
Zimbabwe,0.5714285714285714,-51,0,7,4,1134037
New Zealand,0.5882352941176471,391,5,17,10,1115775
England,0.7647058823529411,591,17,17,13,1115776
New Zealand,0.5882352941176471,391,5,17,10,1115777
Scotland,0.0,0,-17,3,0,1133001
United Arab Emirates,0.5,-8,2,6,3,1133003
Scotland,0.0,0,-17,3,0,1133005
Afghanistan,0.5,265,-11,12,6,1133004
Ireland,0.47058823529411764,-386,2,17,8,1133002
New Zealand,0.5882352941176471,391,5,17,10,1115778
West Indies,0.2,-838,-27,15,3,1133007
England,0.7647058823529411,591,17,17,13,1115779
Hong Kong,1.0,23,0,1,1,1133012
Ireland,0.47058823529411764,-386,2,17,8,1133010
United Arab Emirates,0.2857142857142857,-81,0,7,2,1133019
Afghanistan,0.5,265,-11,12,6,1133018
Ireland,0.47058823529411764,-386,2,17,8,1133022
Hong Kong,1.0,23,0,1,1,1133023
Scotland,0.5,80,-5,8,4,1133025
West Indies,0.2,-838,-27,15,3,1133026
Afghanistan,0.5,265,-11,12,6,1133027
Afghanistan,0.5,265,-11,12,6,1133030
Afghanistan,0.5,265,-11,12,6,1133031
England,0.7142857142857143,156,19,14,10,1119537
Australia,0.2222222222222222,-57,-18,9,2,1119538
Australia,0.2222222222222222,-57,-18,9,2,1119539
England,0.7142857142857143,156,19,14,10,1119540
England,0.7142857142857143,156,19,14,10,1119541
India,0.8421052631578947,541,57,19,16,1119546
Zimbabwe,0.38461538461538464,-27,-33,13,5,1142920
India,0.8421052631578947,541,57,19,16,1119547
Pakistan,0.625,-83,18,8,5,1142921
England,0.7142857142857143,156,19,14,10,1119548
Pakistan,0.625,-83,18,8,5,1142922
Zimbabwe,0.38461538461538464,-27,-33,13,5,1142923
West Indies,0.36363636363636365,-216,-21,11,4,1146720
Zimbabwe,0.38461538461538464,-27,-33,13,5,1142924
Bangladesh,0.375,-129,-12,8,3,1146721
West Indies,0.36363636363636365,-216,-21,11,4,1146722
South Africa,0.375,107,-13,8,3,1142584
South Africa,0.375,107,-13,8,3,1142585
Sri Lanka,0.23529411764705882,-520,-30,17,4,1142586
South Africa,0.375,107,-13,8,3,1142588
Ireland,0.6666666666666666,-130,14,12,8,1150146
Ireland,0.6666666666666666,-130,14,12,8,1150147
