country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
England,0.8333333333333334,85,38,12,10,2.946263079222721,1
South Africa,0.6363636363636364,338,12,11,7,2.650016124027234,2
Australia,0.5263157894736842,327,-29,19,10,2.2895759578317993,3
India,0.6,-157,12,15,9,2.0664694464895255,4
New Zealand,0.4,422,-17,10,4,2.0091044776119404,5
Sri Lanka,0.43478260869565216,-205,-4,23,10,1.9576537278512876,6
Bangladesh,0.5,62,10,8,4,1.8939729603105546,7
Ireland,0.6666666666666666,176,-7,3,2,1.760645204470919,8
Pakistan,0.375,-247,-2,16,6,1.5029850746268658,9
West Indies,0.46153846153846156,-126,-13,13,6,1.4735190896157364,10
Afghanistan,0.0,-125,-16,4,0,0.4263915846775093,11
