country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
Australia,0.6666666666666666,711,12,21,14,3.368462523392101,1
India,0.6296296296296297,16,34,27,17,3.299004538134973,2
Sri Lanka,0.7,135,31,20,14,3.179293048245896,3
South Africa,0.7333333333333333,415,22,15,11,3.1311221721509535,4
England,0.6875,148,27,16,11,2.9625304004131316,5
New Zealand,0.35294117647058826,240,-36,17,6,1.7315254917466654,6
Afghanistan,0.5,0,3,2,1,1.711196233853919,7
Scotland,0.5,0,-3,2,1,1.626689191600398,8
West Indies,0.3076923076923077,-233,-4,13,4,1.5858432012749222,9
Pakistan,0.2777777777777778,-335,-20,18,5,1.4298806362492829,10
Bangladesh,0.30434782608695654,-527,-37,23,7,1.2643942209159602,11
Zimbabwe,0.29411764705882354,-531,-29,17,5,1.1291301904392212,12
Canada,0.0,0,-5,1,0,0.8782404572361706,13
Netherlands,0.0,0,-9,1,0,0.8219024290671566,14
