batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
WU Tharanga,Sri Lanka,361,0.8930041152263375,72.2,3,1,0.14636449480642116,1.3427762039660056,597929
Wahab Riaz,Pakistan,536,0.8813559322033898,55.5,6,2,0.33665559246954596,1.6782333749546863,645635
MN Samuels,West Indies,481,0.8823529411764706,38.57142857142857,5,2,0.20227765726681127,1.3097908011323947,645637
WU Tharanga,Sri Lanka,398,0.8930041152263375,72.2,3,1,0.26062322946175637,1.2254462443961605,635653
V Sibanda,Zimbabwe,205,1.0751879699248121,51.25,2,1,0.3173277661795407,1.32230740271741,643665
MN Samuels,West Indies,481,0.8823529411764706,38.57142857142857,5,2,0.20227765726681127,1.3097908011323947,645643
V Kohli,India,543,0.9466666666666667,94.66666666666667,3,3,0.2303282959874935,1.2075550166352667,643667
R McLaren,South Africa,610,1.0277777777777777,61.0,4,1,0.2562254259501966,1.3987340659340657,635655
V Sibanda,Zimbabwe,205,1.0751879699248121,51.25,2,1,0.3173277661795407,1.32230740271741,643669
Q de Kock,South Africa,610,1.0277777777777777,61.0,4,3,0.28440366972477066,1.3987340659340657,635656
TM Dilshan,Sri Lanka,398,1.121212121212121,72.2,3,3,0.26062322946175637,1.5106232294617563,635657
V Sibanda,Zimbabwe,205,1.0751879699248121,51.25,2,1,0.3173277661795407,1.32230740271741,643675
V Sibanda,Zimbabwe,205,1.0751879699248121,51.25,2,1,0.3173277661795407,1.32230740271741,643677
Saeed Ajmal,Pakistan,703,0.7727272727272727,42.6,6,3,0.20090548953027731,1.265044331258253,659549
Raza-ur-Rehman,Canada,72,0.813953488372093,72.0,1,0,,,660827
Umar Amin,Pakistan,703,1.6625,42.6,6,3,0.20090548953027731,2.642324888226528,659551
Shahid Afridi,Pakistan,703,1.6625,42.6,6,3,0.20090548953027731,2.642324888226528,659553
WTS Porterfield,Ireland,138,1.0,69.0,2,1,0.3607305936073059,2.0257368202573685,566940
RML Taylor,Scotland,15,1.0,15.0,1,0,,,660837
SR Watson,Australia,360,0.9448818897637795,51.0,3,1,0.16840171463563994,1.2268328038885488,566942
SR Watson,Australia,360,0.9448818897637795,51.0,3,1,0.16840171463563994,1.2268328038885488,566944
SR Watson,Australia,458,0.9448818897637795,51.0,3,2,0.21049922799794132,1.2268328038885488,566945
SR Watson,Australia,458,0.9448818897637795,51.0,3,2,0.21049922799794132,1.2268328038885488,647249
SR Watson,Australia,458,1.1224489795918366,51.0,3,2,0.21049922799794132,1.3662418873466293,647251
V Kohli,India,695,0.9087248322147651,52.07692307692308,7,3,0.20235818992989166,1.1398617066007017,647253
SR Watson,Australia,458,1.1224489795918366,51.0,3,2,0.21049922799794132,1.3662418873466293,647259
JP Duminy,South Africa,596,0.9122257053291536,49.666666666666664,5,1,0.2423841059602649,1.2197019867549668,649091
Tamim Iqbal,Bangladesh,301,0.822742474916388,43.0,2,1,0.16252821670428894,1.1341422121896163,668955
Umar Amin,Pakistan,801,1.4444444444444444,44.5,6,4,0.18886198547215496,1.8840589020111675,649093
Yuvraj Singh,India,695,0.9087248322147651,52.07692307692308,7,3,0.20235818992989166,1.1398617066007017,647261
TWM Latham,New Zealand,383,0.8461538461538461,42.55555555555556,3,0,0.09919766593727207,0.9654863735826535,668957
Q de Kock,South Africa,596,0.9122257053291536,49.666666666666664,5,2,0.2423841059602649,1.2197019867549668,649095
