country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
Australia,0.6111111111111112,263,10,36,22,3.1117489287933795,1
Bangladesh,0.8125,-6,47,16,13,2.6887458471760795,2
South Africa,0.6470588235294118,279,12,17,11,2.6611637059887245,3
India,0.5833333333333334,163,14,24,14,2.597948469938461,4
Canada,1.0,148,9,2,2,2.2936828013513324,5
Afghanistan,1.0,89,0,1,1,2.036846236875675,6
Sri Lanka,0.391304347826087,109,-24,23,9,1.7916842348412403,7
Pakistan,0.4,-27,-9,20,8,1.6409731275495183,8
New Zealand,0.5294117647058824,-216,9,17,9,1.546239638039496,9
England,0.4444444444444444,-181,0,18,8,1.4437491530809163,10
Zimbabwe,0.26666666666666666,-199,-32,15,4,0.7403100775193798,11
Kenya,0.0,0,-13,2,0,0.728380083266748,12
West Indies,0.15384615384615385,-185,-23,13,2,0.7114025411346577,13
Scotland,0.0,-237,-7,3,0,0.37359855334538883,14
