match_id,match_date,team,opponent,location,team_score,opponent_score,opponent_base,opponent_trend,opponent_trend_predict,opponent_mean,location_base,location_trend,location_trend_predict,location_mean,current_base,current_trend,current_trend_predict,current_mean,batsman_mean,batsman_max,bowler_mean,bowler_max,is_train,noise,runs_scored
351684,2009-01-16,Australia,South Africa,Melbourne Cricket Ground,3.1509790209790207,2.903333848213366,377.0,0.0,377.0,377.0,345.0,-92.99999999999999,66.00000000000006,205.5,323.00000000000006,-17.800000000000004,216.20000000000005,269.6,2.8136006184087368,3.6858269446498,3.7839694021509893,4.45554770717967,True,False,271
351685,2009-01-18,Australia,South Africa,Hobart,3.1509790209790207,2.903333848213366,483.0,-105.99999999999999,165.00000000000006,324.0,296.0,-6.9999999999999964,275.0,285.5,318.7,-16.500000000000004,219.69999999999996,269.2,2.843283814903045,3.6858269446498,3.557267587441156,4.45554770717967,True,False,249
385749,2009-01-20,Sri Lanka,Pakistan,Karachi,2.9025623238876253,3.5317634173055863,302.0,0.0,302.0,302.0,331.5,-11.100000000000001,276.0,303.75,249.60000000000002,-24.20000000000001,104.39999999999998,177.0,3.1001780453553973,5.015920318670156,5.099185537396397,5.4506186388947375,True,False,219
385750,2009-01-21,Sri Lanka,Pakistan,Karachi,2.9025623238876253,3.5317634173055863,385.0,-82.99999999999999,136.00000000000006,260.5,354.3,-22.500000000000004,219.29999999999998,286.8,127.19999999999996,13.000000000000007,205.2,166.2,3.2002931967181443,5.015920318670156,5.099185537396397,5.4506186388947375,True,False,290
378759,2009-01-23,Zimbabwe,Bangladesh,Mirpur,1.2943056140646505,0.7978609625668449,205.0,0.0,205.0,205.0,205.0,0.0,205.0,205.0,233.0,-18.800000000000004,120.19999999999997,176.6,2.0464736539314967,3.2383833255633383,2.749103744854822,3.0347709617253065,True,False,119
351686,2009-01-23,Australia,South Africa,Sydney Cricket Ground,3.1509790209790207,2.903333848213366,426.99999999999994,-63.99999999999998,171.00000000000003,299.0,283.6666666666667,-7.000000000000001,255.66666666666669,269.6666666666667,312.70000000000005,-16.700000000000003,212.50000000000003,262.6,2.7819310943298277,3.6858269446498,3.557267587441156,4.45554770717967,True,False,269
385751,2009-01-24,Sri Lanka,Pakistan,Lahore,2.9025623238876253,3.5317634173055863,282.3333333333333,-5.999999999999993,258.33333333333337,270.3333333333333,423.99999999999994,-66.99999999999997,223.00000000000003,323.5,104.29999999999998,30.500000000000007,287.30000000000007,195.8,3.2993034063375313,5.015920318670156,4.542841375751743,5.4506186388947375,True,False,309
351687,2009-01-26,Australia,South Africa,Adelaide Oval,3.1509790209790207,2.903333848213366,378.0,-34.60000000000001,204.99999999999994,291.5,203.0,0.0,203.0,203.0,223.89999999999998,8.100000000000001,272.5,248.2,2.7440413340915106,3.6858269446498,3.701454426099179,4.45554770717967,True,False,222
386530,2009-01-28,Sri Lanka,India,Rangiri Dambulla International Stadium,2.9025623238876253,3.6967984535690133,257.4,-9.8,198.59999999999997,228.0,395.9999999999999,-126.99999999999994,15.000000000000057,205.5,86.29999999999998,45.7,360.5,223.4,3.2534362193388864,5.015920318670156,3.9619288799175476,5.188351005013045,True,False,246
351688,2009-01-30,South Africa,Australia,Perth,2.903333848213366,3.1509790209790207,149.0,0.0,149.0,149.0,277.00000000000006,65.99999999999997,475.0,376.0,164.49999999999994,22.90000000000001,301.9,233.2,2.610426199973815,3.6918507613699103,4.314332172843704,5.757505016430362,True,True,288
