country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
Australia,0.7666666666666667,1109,62,30,23,3.730952380952381,1
South Africa,0.6428571428571429,265,30,28,18,2.7269205863545487,2
Sri Lanka,0.7,972,-6,20,14,2.5833511408983103,3
New Zealand,0.5172413793103449,-187,36,29,15,2.4221514106354705,4
India,0.5,126,9,30,15,2.373895323895324,5
England,0.5161290322580645,-44,-11,31,16,2.134957294482553,6
Asia XI,1.0,78,0,3,3,1.7958751204034222,7
Kenya,0.6666666666666666,-67,13,9,6,1.7123819237026783,8
West Indies,0.5,-135,6,16,8,1.6888366803461141,9
Pakistan,0.3333333333333333,-126,-27,15,5,1.1805403786535862,10
Scotland,0.25,-126,-15,4,1,0.8175574496329212,11
Canada,0.16666666666666666,-267,-8,6,1,0.7870057388925312,12
Ireland,0.16666666666666666,-145,-17,6,1,0.775373351788446,13
Zimbabwe,0.14285714285714285,-108,-24,7,1,0.7434626000663735,14
Bangladesh,0.14285714285714285,-261,-44,14,2,0.7128914628914629,15
Bermuda,0.0,-556,-20,7,0,0.3692722371967655,16
