batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
Tamim Iqbal,Bangladesh,505,0.7037643207855974,36.0,7,1,0.38652482269503546,1.6247582205029014,350348
Younis Khan,Pakistan,757,1.2738095238095237,60.666666666666664,5,3,0.20039347948285555,1.4532480934283054,374059
PD Collingwood,England,280,1.0469798657718121,78.0,2,2,0.23007856341189675,1.2020879940343028,361043
S Chattergoon,West Indies,459,1.3396226415094339,49.375,5,1,0.15384615384615385,1.5205594405594405,374060
PD Collingwood,England,280,1.0469798657718121,78.0,2,2,0.23007856341189675,1.2020879940343028,361044
WU Tharanga,Sri Lanka,698,0.8260355029585799,43.625,6,3,0.20286659316427783,1.0079933847850056,375456
WU Tharanga,Sri Lanka,698,0.8260355029585799,43.625,6,3,0.20286659316427783,1.0079933847850056,375457
V Sibanda,Zimbabwe,327,0.9937106918238994,29.727272727272727,4,1,0.23048327137546468,1.521705240436503,375460
Yuvraj Singh,India,852,1.2566735112936345,51.0,6,4,0.16439737771053958,1.4156957853091485,361047
V Sibanda,Zimbabwe,327,0.9937106918238994,29.727272727272727,4,1,0.23048327137546468,1.521705240436503,375462
LRPL Taylor,New Zealand,119,0.815068493150685,31.0,1,0,0.12613784135240572,0.9995082558380959,366711
Tamim Iqbal,Bangladesh,466,0.7136294027565084,33.0,6,1,0.38652482269503546,1.6247582205029014,378753
Tamim Iqbal,Bangladesh,466,0.7254509018036072,36.2,6,1,0.38652482269503546,1.6247582205029014,378755
MV Boucher,South Africa,446,0.93048128342246,40.54545454545455,4,2,0.20573183213920163,1.3355202443075993,351684
MV Boucher,South Africa,446,0.93048128342246,40.54545454545455,4,2,0.20573183213920163,1.3355202443075993,351685
Younis Khan,Pakistan,752,0.9986684420772304,57.69230769230769,6,3,0.18715305313243458,1.1135547919053073,385749
Younis Khan,Pakistan,752,1.2564102564102564,57.69230769230769,6,3,0.18715305313243458,1.42074282984966,385750
Tamim Iqbal,Bangladesh,466,0.7254509018036072,36.2,6,1,0.38652482269503546,1.6247582205029014,378759
MV Boucher,South Africa,446,0.93048128342246,40.54545454545455,4,2,0.20573183213920163,1.3355202443075993,351686
Younis Khan,Pakistan,752,1.2564102564102564,57.69230769230769,6,3,0.18715305313243458,1.42074282984966,385751
JH Kallis,South Africa,341,0.773972602739726,37.888888888888886,4,1,0.14022517911975435,0.9803845384349965,351687
Yuvraj Singh,India,902,0.9675480769230769,46.5,6,4,0.15577651515151514,1.1246074588548112,386530
SE Marsh,Australia,570,0.9605734767025089,48.54545454545455,5,3,0.1427038626609442,1.2570058066144911,351688
TM Dilshan,Sri Lanka,1016,0.9938875305623472,42.78947368421053,7,3,0.20865587614356088,1.383884588318086,386531
V Sibanda,Zimbabwe,208,0.9072164948453608,26.0,4,1,0.20638297872340425,1.3590988735919902,385025
TG Southee,New Zealand,119,1.025974025974026,34.333333333333336,1,1,0.11771428571428572,1.4896134453781513,351689
TM Dilshan,Sri Lanka,1016,0.9938875305623472,42.78947368421053,7,3,0.20865587614356088,1.383884588318086,386532
TM Dilshan,Sri Lanka,1016,0.9938875305623472,42.78947368421053,7,3,0.20865587614356088,1.383884588318086,386533
PG Fulton,New Zealand,119,0.815068493150685,34.333333333333336,1,0,0.11771428571428572,0.9995082558380959,351690
NT Broom,New Zealand,119,1.025974025974026,34.333333333333336,1,1,0.11771428571428572,1.4896134453781513,351691
Yuvraj Singh,India,902,1.242467718794835,54.125,6,4,0.15577651515151514,1.3814705735536366,386534
RT Ponting,Australia,570,1.1333333333333333,33.5,5,1,0.13054363376251787,1.473864191499756,351692
MJ Guptill,New Zealand,280,1.25,45.0,3,1,0.1615798922800718,1.8615350089766607,366627
MJ Guptill,New Zealand,280,0.7366548042704626,31.11111111111111,3,0,0.1615798922800718,1.04245960502693,366625
SCJ Broad,England,422,0.8846960167714885,46.888888888888886,3,2,0.23007856341189675,1.1594599525634008,352666
WTS Porterfield,Ireland,21,0.6176470588235294,21.0,1,0,,,390204
S Chanderpaul,West Indies,485,0.8793103448275862,60.625,5,1,0.3670886075949367,1.2974683544303798,352669
MV Boucher,South Africa,345,1.1777777777777778,38.333333333333336,4,2,0.16975111678366306,1.4311075013053316,350477
JP Duminy,South Africa,374,0.8646616541353384,41.55555555555556,4,1,0.16975111678366306,1.1180527353947902,350478
RT Ponting,Australia,770,0.8612975391498882,45.294117647058826,4,2,0.1967399545109932,1.1187933326740722,350479
RT Ponting,Australia,770,0.8612975391498882,45.294117647058826,4,2,0.1967399545109932,1.1187933326740722,350480
MV Boucher,South Africa,374,1.1777777777777778,41.55555555555556,4,2,0.16975111678366306,1.4311075013053316,350481
