batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score
MEK Hussey,Australia,1090,0.8876221498371335,37.58620689655172,3.1117489287933795,2.101565401961557,3,0.12304503485961937,1.1641676947813038,0.03539721274837251,5.3372462692061955
SR Tendulkar,India,891,0.921406411582213,49.5,2.5979484699384607,2.1960613383311083,3,0.14916839916839916,1.006825257648981,0.01774655481143532,5.178846058882612
TM Dilshan,Sri Lanka,874,1.0162790697674418,51.411764705882355,1.7916842348412405,2.2374459400665607,3,0.1984469370146678,1.0661581456744205,0.020065793832143207,5.137904301938843
SR Watson,Australia,945,0.8063139931740614,42.95454545454545,3.1117489287933795,1.7836893176704252,3,0.13736574335782928,1.004816459031706,0.025032446037194834,5.096515063673643
Yuvraj Singh,India,779,0.9465370595382746,43.27777777777778,2.5979484699384607,1.9974301399491456,3,0.16034303534303534,1.0460595793000251,0.025023188882096602,5.00100488453498
AB de Villiers,South Africa,738,0.9329962073324906,46.125,2.6611637059887245,2.3004747977838957,2,0.21019108280254778,1.0934898658446204,0.028555310054389146,4.9771502718483545
Shakib Al Hasan,Bangladesh,625,1.072041166380789,44.642857142857146,2.6887458471760795,0.8092137595313582,3,0.21013931888544893,1.396578082033729,0.028741388620075164,4.852445169597235
RT Ponting,Australia,1131,0.804982206405694,41.888888888888886,3.1117489287933795,2.146496587620916,1,0.14527981910684,1.0091731057142874,0.03186596764213139,4.742013100518337
PD Collingwood,England,621,0.8369272237196765,41.4,1.4437491530809163,2.1591289003560776,3,0.2160342717258262,1.1396509243510466,0.03295163143564588,4.65236017668316
MS Dhoni,India,1045,0.8144972720187061,49.76190476190476,2.5979484699384607,2.0237213719175604,1,0.17671517671517672,0.9757440417817776,0.028596061250969234,4.61782986484243
MJ Clarke,Australia,852,0.6882067851373183,38.72727272727273,3.1117489287933795,1.8945665931960056,2,0.10646316186169211,0.8937665181679101,0.033405557128135,4.469365088229191
G Gambhir,India,711,0.8954659949622166,35.55,2.5979484699384607,1.9275781392285272,2,0.145010395010395,0.9819960138141957,0.021816608877456765,4.3917773060610665
E Chigumbura,Zimbabwe,391,0.9221698113207547,26.066666666666666,0.7403100775193798,2.5543771774238104,3,0.25333333333333335,1.2295402298850575,0.04534448532149007,4.3608743535421945
V Sehwag,India,554,1.2256637168141593,34.625,2.5979484699384607,2.256027920473074,1,0.10836798336798337,1.2981977422766897,0.02432725212270206,4.193366485917116
JA Morkel,South Africa,263,1.240566037735849,20.23076923076923,2.6611637059887245,2.3698730407374704,2,0.07430997876857749,1.4886122370198802,0.06721271412548015,4.144892922428565
JH Kallis,South Africa,497,0.797752808988764,45.18181818181818,2.6611637059887245,2.602208208998802,1,0.12349610757254069,0.8658761178665637,0.03944953856772207,4.083992483083776
HH Gibbs,South Africa,425,0.8415841584158416,38.63636363636363,2.6611637059887245,2.9601125855467916,1,0.09518754423213022,0.9788452465204057,0.030027802236881816,4.050732128942261
JP Duminy,South Africa,475,0.9117082533589251,31.666666666666668,2.6611637059887245,2.4044857791348635,1,0.12420382165605096,1.091648973814579,0.03326038128430851,3.9882494883018587
HM Amla,South Africa,478,0.746875,43.45454545454545,2.6611637059887245,2.298935522505627,1,0.1397735314932767,0.8488215445999185,0.026792491710935628,3.960082819373068
BB McCullum,New Zealand,603,0.7892670157068062,35.470588235294116,1.546239638039496,2.2538921431686543,1,0.21697038724373577,1.1090695876422394,0.02945460560958898,3.9420344305932766
MG Johnson,Australia,288,0.9442622950819672,15.157894736842104,3.1117489287933795,2.1819582069299757,2,0.03184473337101941,1.4847893307739337,0.05651067347001371,3.928691395366826
CL White,Australia,628,0.7593712212817413,31.4,3.1117489287933795,1.9612385719442547,1,0.10099868098737516,0.9583784062652686,0.03665037266095486,3.920060109860041
BJ Haddin,Australia,628,0.8252299605781866,33.05263157894737,3.1117489287933795,2.1579716447259365,1,0.06105144149236857,0.9721729540836381,0.033989073176138404,3.9144690368710413
Rizwan Cheema,Canada,76,1.853658536585366,38.0,2.2936828013513324,0.5509893183060683,0,0.2261904761904762,2.2784552845528454,0.01860807318911967,3.838859102778132
KC Sangakkara,Sri Lanka,801,0.8576017130620985,34.82608695652174,1.7916842348412405,2.127399672437182,1,0.11604831751509923,0.9571324536337082,0.036451594005247195,3.784589101598875
Tamim Iqbal,Bangladesh,550,0.8270676691729323,34.375,2.6887458471760795,0.8006007992798609,1,0.20588235294117646,1.0798731257208767,0.024125352889269393,3.736870442458119
SE Marsh,Australia,393,0.7660818713450293,35.72727272727273,3.1117489287933795,2.444075015935135,1,0.03787450537026569,0.9663963358452438,0.02686640507925212,3.736051289381654
DL Vettori,New Zealand,233,0.879245283018868,19.416666666666668,1.546239638039496,2.1821140912723993,3,0.08599088838268792,1.236945855966357,0.061116691722264686,3.733411789843622
CJ Ferguson,Australia,542,0.7970588235294118,27.1,3.1117489287933795,1.7761650270714924,1,0.07103825136612021,1.0118657298985168,0.0477881653027047,3.668014775977098
Kamran Akmal,Pakistan,509,0.8511705685618729,26.789473684210527,1.6409731275495183,2.1424522515726347,1,0.16910569105691056,1.1837398373983739,0.03361552079056599,3.6549060556185413
A Bagai,Canada,87,0.696,87.0,2.2936828013513324,0.3735985533453888,1,0.25892857142857145,0.8554999999999999,0.0,3.6515687636058183
ST Jayasuriya,Sri Lanka,580,0.9618573797678275,30.526315789473685,1.7916842348412405,2.1290710142673284,1,0.10828300258843832,1.1319351084535585,0.033739040753555875,3.637230757218317
S Chanderpaul,West Indies,346,0.6837944664031621,49.42857142857143,0.7114025411346577,1.7881618843200116,1,0.3023255813953488,0.8700258397932816,0.02870508306774389,3.531764491815708
Shahid Afridi,Pakistan,313,1.0064308681672025,17.38888888888889,1.6409731275495183,2.088602436171483,2,0.06612466124661247,1.4282926829268294,0.05345998591518239,3.522278068451952
JD Ryder,New Zealand,264,1.168141592920354,37.714285714285715,1.546239638039496,2.107111446660178,1,0.08599088838268792,1.4958415002383856,0.023599274771716496,3.519308838217891
Umar Akmal,Pakistan,311,0.9014492753623189,31.1,1.6409731275495183,1.8226555793349948,2,0.08563685636856369,1.245028142589118,0.02944163464912221,3.519000444117419
OA Shah,England,446,0.7623931623931623,29.733333333333334,1.4437491530809163,2.249245944917008,1,0.16401468788249693,1.071105566203702,0.03609625576285283,3.494460438195876
DPMD Jayawardene,Sri Lanka,592,0.7851458885941645,25.73913043478261,1.7916842348412405,2.127399672437182,1,0.11518550474547024,0.9558624809185637,0.035391115458032175,3.45922498377187
V Kohli,India,325,0.8227848101265823,40.625,2.5979484699384607,1.967826308204487,1,0.055873180873180876,0.9267709394227613,0.027300642511119234,3.4386838144365655
DJ Hussey,Australia,344,0.7257383966244726,22.933333333333334,3.1117489287933795,2.2958379159729825,1,0.025626530996796685,0.9125579526936226,0.048857639184905786,3.409559389280875
SK Raina,India,526,0.9309734513274336,27.68421052631579,2.5979484699384607,2.161860196210497,0,0.0829002079002079,1.0168926699615324,0.0423289397403962,3.382347686522306
SHT Kandamby,Sri Lanka,668,0.7616875712656784,35.1578947368421,1.7916842348412405,2.174659328222661,0,0.12165660051768766,1.044929463682177,0.03880018001510073,3.3678686648602696
GC Smith,South Africa,444,0.9117043121149897,37.0,2.6611637059887245,2.030050087447401,0,0.07678697806086342,0.9400310607847764,0.026412410409555977,3.329769714499274
JR Hopes,Australia,496,0.8641114982578397,21.565217391304348,3.1117489287933795,2.0390693959826334,0,0.04315055586960618,1.1097569547258637,0.05717616618541085,3.3067019236510173
TD Paine,Australia,362,0.6843100189035917,27.846153846153847,3.1117489287933795,1.5880388824036868,1,0.06595063124175617,0.8397368194063296,0.03281822156135733,3.3066833152297073
M Muralitharan,Sri Lanka,80,1.4035087719298245,8.88888888888889,1.7916842348412405,2.1608009180732655,1,0.01984469370146678,2.1408455565142366,0.09639875882041571,3.3004783389546617
GD Elliott,New Zealand,417,0.7177280550774526,34.75,1.546239638039496,2.506991336678788,1,0.0837129840546697,0.8239120009591177,0.02917836038654072,3.2655515575752063
RA Jadeja,India,201,0.7178571428571429,22.333333333333332,2.5979484699384607,2.1383170557740616,1,0.007796257796257797,1.5970634095634095,0.04441155916843275,3.264001713615115
Shoaib Malik,Pakistan,410,0.7441016333938294,25.625,1.6409731275495183,2.1410574986378714,1,0.1008130081300813,0.9941039236479321,0.032952611148220685,3.1973724058390784
Mohammad Ashraful,Bangladesh,426,0.6614906832298136,26.625,2.6887458471760795,0.8006007992798609,1,0.146671826625387,0.8333036521548536,0.03388273486857853,3.1610872127468475
Noor Ali Zadran,Afghanistan,45,1.5517241379310345,45.0,2.0368462368756752,0.3735985533453888,0,0.1618705035971223,1.7191763830315059,0.0,3.1427893238635787
Mohammad Nabi,Afghanistan,58,0.8529411764705882,58.0,2.0368462368756752,0.3735985533453888,1,0.20863309352517986,0.9449851883199323,0.0,3.141938507684293
MJ Guptill,New Zealand,420,0.7228915662650602,26.25,1.546239638039496,2.350297743295779,0,0.15831435079726652,1.066839048615814,0.04260658765815682,3.133899820543331
CK Coventry,Zimbabwe,368,0.9435897435897436,36.8,0.7403100775193798,2.685987633057344,1,0.06,1.0236363636363637,0.017142689215295492,3.1266111791111677
Salman Butt,Pakistan,358,0.6729323308270677,35.8,1.6409731275495183,2.246076733381572,1,0.056910569105691054,0.9778270509977827,0.028980976047021312,3.122320408881584
MV Boucher,South Africa,284,0.9466666666666667,20.285714285714285,2.6611637059887245,2.184578493353969,0,0.06617126680820948,1.1216393302380563,0.08142329981033375,3.1116911453747598
Hasti Gul,Afghanistan,23,2.090909090909091,23.0,2.0368462368756752,0.3735985533453888,0,0.08273381294964029,2.316546762589928,0.0,3.110078071636881
NM Hauritz,Australia,153,0.8095238095238095,10.928571428571429,3.1117489287933795,2.033377489489036,1,0.018654607122668174,1.109178979468004,0.11153941799361562,3.106497711512791
MJ Prior,England,281,0.7656675749318801,21.615384615384617,1.4437491530809163,2.2369769697632496,1,0.09914320685434516,1.1249153805652237,0.043176384591811515,3.0609136641868746
LRPL Taylor,New Zealand,455,0.728,26.764705882352942,1.546239638039496,2.2538921431686543,0,0.15774487471526197,0.8849487471526196,0.036371063396432986,3.057459272627617
WU Tharanga,Sri Lanka,478,0.8255613126079447,47.8,1.7916842348412405,2.1285405364677517,0,0.060396893874029335,0.8024158757549612,0.024636886563789717,3.049874650067407
GA Manou,Australia,7,1.1666666666666667,7.0,3.1117489287933795,2.5979484699384607,0,0.0013190126248351234,1.4247534702594058,0.0,3.045281837270743
EJG Morgan,England,363,0.8102678571428571,24.2,1.4437491530809163,2.4791750853772405,0,0.11872705018359853,1.1878553641521608,0.04357131551480905,3.0303330822063255
AD Mathews,Sri Lanka,277,0.8195266272189349,23.083333333333332,1.7916842348412405,2.0948030007230707,1,0.06471095772217429,1.0088176472641852,0.05079756808615833,3.0097114023553777
Khurram Chohan,Canada,9,1.8,9.0,2.2936828013513324,0.3735985533453888,1,0.026785714285714284,2.2125,0.0,3.0025607388163693
CK Kapugedera,Sri Lanka,343,0.7456521739130435,19.055555555555557,1.7916842348412405,2.177670394278798,1,0.07118205349439172,0.88469123628744,0.05418134246042291,2.986493765945883
AJ Strauss,England,551,0.7356475300400535,30.61111111111111,1.4437491530809163,2.317898905095628,0,0.11505507955936352,0.7279653164643841,0.03565777543939544,2.9669796985280708
Naved-ul-Hasan,Pakistan,89,1.2191780821917808,17.8,1.6409731275495183,2.1678611012907636,1,0.023848238482384824,1.3868667917448405,0.07913116177544958,2.9629207748724076
ND McKenzie,South Africa,108,0.6428571428571429,27.0,2.6611637059887245,3.1117489287933795,0,0.035385704175513094,0.7134960613167183,0.039263517975114216,2.9566447525674975
AC Voges,Australia,79,0.7452830188679245,19.75,3.1117489287933795,2.5979484699384607,0,0.004899189749387601,1.1339874559207517,0.07301345092510621,2.9515168644533754
RS Morton,West Indies,148,0.7708333333333334,49.333333333333336,0.7114025411346577,2.213215364319279,0,0.19767441860465115,0.9845706618962433,0.03065216594579911,2.920104348442998
A Symonds,Australia,82,0.7387387387387387,20.5,3.1117489287933795,1.6409731275495183,1,0.012247974373469004,0.9799891594376865,0.039113063271891194,2.9015009186318297
IJL Trott,England,148,0.6757990867579908,49.333333333333336,1.4437491530809163,2.6611637059887245,0,0.0850673194614443,0.8427889064692361,0.025596188840572777,2.8745676590458817
H Masakadza,Zimbabwe,362,0.7735042735042735,24.133333333333333,0.7403100775193798,2.5543771774238104,0,0.1688888888888889,1.000888888888889,0.033639438853218746,2.867852062031993
