bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
ST Finn,England,-0.6854103343465046,23,2.090909090909091,0.050997782705099776,10,2.9462630792227213,2.0276577848818462,0.18045112781954886,0.2608695652173913,6.807363140929573
M Morkel,South Africa,-0.7690631808278867,18,2.0,0.05099150141643059,6,2.650016124027234,2.298623678255244,0.1717171717171717,0.3051282051282051,6.211447272854768
SL Malinga,Sri Lanka,-1.0072639225181599,37,1.6818181818181819,0.029647435897435896,10,1.957653727851288,2.1309643687965187,0.14388489208633093,0.25,5.996068587822637
NLTC Perera,Sri Lanka,-1.029275808936826,26,1.7333333333333334,0.038922155688622756,9,1.957653727851288,2.0613263306343246,0.15827338129496402,0.3055555555555556,5.885819150731251
SP Narine,West Indies,-0.6110397946084724,24,1.8461538461538463,0.05042016806722689,6,1.4735190896157364,2.101636435747589,0.1509433962264151,0.26666666666666666,5.7164761038616145
M de Lange,South Africa,-0.8363636363636363,4,4.0,0.08695652173913043,1,2.650016124027234,2.0091044776119404,0.04040404040404041,0.43076923076923074,5.658688354340909
LL Tsotsobe,South Africa,-0.8171206225680934,17,1.7,0.04047619047619048,6,2.650016124027234,2.269671758190914,0.1414141414141414,0.2512820512820513,5.647403381027686
Saeed Ajmal,Pakistan,-0.7312430011198209,31,2.066666666666667,0.04747320061255743,6,1.5029850746268658,2.1916011848145214,0.13095238095238096,0.20754716981132074,5.625222154782963
JM Anderson,England,-0.7878228782287823,16,1.6,0.03747072599531616,8,2.9462630792227213,2.1161690725268874,0.10526315789473684,0.19021739130434784,5.507553523890425
RJ Peterson,South Africa,-0.7669724770642202,16,1.4545454545454546,0.03827751196172249,7,2.650016124027234,2.3311800601028962,0.12121212121212122,0.1846153846153846,5.427892432414609
MA Starc,Australia,-0.8426395939086294,16,2.2857142857142856,0.04819277108433735,5,2.2895759578318,1.5751342041983492,0.09142857142857143,0.3298969072164949,5.261910651252081
Sohag Gazi,Bangladesh,-0.5769230769230769,9,1.8,0.05454545454545454,3,1.8939729603105544,1.4735190896157364,0.15789473684210525,0.34285714285714286,5.243244371774752
IK Pathan,India,-0.9245283018867925,18,1.6363636363636365,0.03339517625231911,6,2.066469446489525,1.9708805495963666,0.11607142857142858,0.2867647058823529,5.100349860282924
SCJ Broad,England,-0.7437185929648241,10,1.4285714285714286,0.033783783783783786,7,2.9462630792227213,1.835886026713105,0.09774436090225563,0.2018633540372671,5.085552730055184
CJ McKay,Australia,-0.793939393939394,19,1.5833333333333333,0.03625954198473282,5,2.2895759578318,2.1019083592416306,0.06857142857142857,0.24742268041237114,4.929681222755973
B Lee,Australia,-0.9346092503987241,18,1.5,0.030716723549488054,6,2.2895759578318,2.1019083592416306,0.08571428571428572,0.2577319587628866,4.924800066759557
KMDN Kulasekara,Sri Lanka,-0.8448108632395732,19,1.0,0.021814006888633754,9,1.957653727851288,2.141147777581833,0.10071942446043165,0.19444444444444445,4.913909449990435
Junaid Khan,Pakistan,-0.9380952380952381,10,2.5,0.050761421319796954,2,1.5029850746268658,2.3979711103439616,0.08333333333333333,0.3962264150943396,4.8829600783150635
R Ashwin,India,-0.770573566084788,15,1.0714285714285714,0.024271844660194174,9,2.066469446489525,1.9355698982778196,0.10714285714285714,0.1764705882352941,4.878420546750394
Abdur Razzak,Bangladesh,-0.6592920353982301,14,1.75,0.04697986577181208,4,1.8939729603105544,1.5550043804777425,0.12280701754385964,0.2,4.814750587475971
JW Dernbach,England,-0.931899641577061,9,1.8,0.03461538461538462,4,2.9462630792227213,2.3485218809080735,0.06015037593984962,0.2173913043478261,4.712545486254075
JC Tredwell,England,-0.8055555555555556,5,1.6666666666666667,0.04310344827586207,2,2.9462630792227213,2.650016124027234,0.03759398496240601,0.27173913043478265,4.672995583455342
TT Bresnan,England,-0.9577039274924471,9,1.5,0.028391167192429023,5,2.9462630792227213,2.0825413602942056,0.07518796992481203,0.2173913043478261,4.638439306279926
KD Mills,New Zealand,-0.7621483375959079,12,1.5,0.040268456375838924,3,2.0091044776119404,2.0617676068214856,0.09859154929577464,0.2456140350877193,4.628355241266053
XJ Doherty,Australia,-0.805115712545676,17,1.1333333333333333,0.025718608169440244,8,2.2895759578318,1.9123203812364304,0.06285714285714286,0.14175257731958765,4.5916703280185995
