match_id,match_date,team,opponent,location,opponent_base,opponent_trend,opponent_trend_predict,opponent_mean,location_base,location_trend,location_trend_predict,location_mean,current_base,current_trend,current_trend_predict,current_mean,is_train,target_score,win,runs_scored,noise
298805,2008-01-20,South Africa,West Indies,Centurion,356.0,0.0,356.0,356.0,392.0,0.0,392.0,392.0,337.9,-28.900000000000002,164.49999999999997,251.2,True,175,1,176,False
325800,2008-01-21,Zimbabwe,Pakistan,Karachi,193.79999999999998,12.800000000000002,270.6,232.2,193.79999999999998,12.800000000000002,270.6,232.2,193.79999999999998,12.800000000000002,270.6,232.2,True,347,0,243,True
325801,2008-01-24,Pakistan,Zimbabwe,Sind,347.0,0.0,347.0,347.0,185.09999999999994,30.100000000000012,365.70000000000005,275.4,185.09999999999994,30.100000000000012,365.70000000000005,275.4,True,238,1,239,True
298806,2008-01-25,West Indies,South Africa,Cape Town,175.0,0.0,175.0,175.0,338.20000000000005,-24.20000000000001,193.0,265.6,338.20000000000005,-24.20000000000001,193.0,265.6,True,255,0,169,True
325802,2008-01-27,Zimbabwe,Pakistan,Multan Cricket Stadium,238.0,0.0,238.0,238.0,224.7,4.900000000000002,254.1,239.4,224.7,4.900000000000002,254.1,239.4,True,272,0,235,True
298807,2008-01-27,South Africa,West Indies,Port Elizabeth,457.0,-100.99999999999999,154.00000000000006,305.5,209.0,0.0,209.0,209.0,257.4,-6.6000000000000005,217.79999999999998,237.6,True,252,1,256,False
325803,2008-01-30,Pakistan,Zimbabwe,Faisalabad,421.99999999999994,-74.99999999999997,197.00000000000003,309.5,236.4,15.800000000000002,331.20000000000005,283.8,236.4,15.800000000000002,331.20000000000005,283.8,True,244,1,245,True
298808,2008-02-01,South Africa,West Indies,Durban,457.0,-100.99999999999999,154.00000000000006,305.5,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,True,263,1,266,True
325804,2008-02-02,Pakistan,Zimbabwe,Sheikhupura Stadium,421.99999999999994,-74.99999999999997,197.00000000000003,309.5,236.4,15.800000000000002,331.20000000000005,283.8,236.4,15.800000000000002,331.20000000000005,283.8,True,181,1,187,True
291361,2008-02-08,Sri Lanka,Australia,Sydney Cricket Ground,226.0,0.0,226.0,226.0,233.5,-3.100000000000001,214.9,224.2,233.5,-3.100000000000001,214.9,224.2,True,253,0,125,True
300437,2008-02-09,New Zealand,England,Wellington,131.33333333333334,56.5,357.33333333333337,244.33333333333334,244.1,0.1000000000000003,244.7,244.4,244.1,0.1000000000000003,244.7,244.4,True,130,1,131,True
291362,2008-02-10,India,Australia,Melbourne Cricket Ground,433.9999999999999,-142.99999999999994,5.000000000000057,219.5,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,True,159,1,160,True
291364,2008-02-15,Sri Lanka,Australia,Perth,226.0,0.0,226.0,226.0,233.5,-3.100000000000001,214.9,224.2,233.5,-3.100000000000001,214.9,224.2,True,236,0,173,True
291365,2008-02-17,India,Australia,Adelaide Oval,433.9999999999999,-142.99999999999994,5.000000000000057,219.5,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,True,203,0,153,True
291366,2008-02-19,India,Sri Lanka,Adelaide Oval,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,True,238,1,239,True
291368,2008-02-24,India,Australia,Sydney Cricket Ground,433.9999999999999,-142.99999999999994,5.000000000000057,219.5,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,True,317,0,299,True
291369,2008-02-26,India,Sri Lanka,Hobart,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,True,179,1,180,True
291370,2008-02-29,Australia,Sri Lanka,Melbourne Cricket Ground,270.0,-16.999999999999996,219.0,244.5,345.0,-92.99999999999999,66.00000000000006,205.5,182.0,17.200000000000003,285.20000000000005,233.6,True,221,0,208,False
291371,2008-03-02,India,Australia,Sydney Cricket Ground,433.9999999999999,-142.99999999999994,5.000000000000057,219.5,174.99999999999994,24.40000000000001,321.4,248.2,174.99999999999994,24.40000000000001,321.4,248.2,True,239,1,242,True
291372,2008-03-04,Australia,India,Brisbane,147.19999999999996,25.000000000000007,297.20000000000005,222.2,158.5,24.100000000000005,303.1,230.8,158.5,24.100000000000005,303.1,230.8,True,258,0,249,True
323949,2008-03-09,South Africa,Bangladesh,Chittagong Divisional Stadium,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,True,178,1,180,True
323950,2008-03-12,South Africa,Bangladesh,Mirpur,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,True,173,1,179,True
323951,2008-03-14,South Africa,Bangladesh,Mirpur,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,257.4,-6.6000000000000005,217.79999999999998,237.6,True,143,1,147,True
319134,2008-04-10,West Indies,Sri Lanka,Trinidad,278.8,-8.600000000000001,227.2,253.0,278.8,-8.600000000000001,227.2,253.0,278.8,-8.600000000000001,227.2,253.0,True,235,1,236,True
